title,date,body
王晨出席“全国杰出青年法学家”颁奖仪式并在座谈时强调 自觉做习近平法治思想的坚定信仰者积极传播者模范实践者,2020-12-09,"新华社北京12月9日电 中共中央政治局委员、全国人大常委会副委员长、中国法学会会长王晨9日在京出席中国法学会主办的第九届“全国杰出青年法学家”颁奖仪式并与青年法学家座谈。他强调，习近平法治思想是马克思主义法治理论中国化最新成果，青年法学家和广大法学法律工作者要自觉做习近平法治思想的坚定信仰者、积极传播者、模范实践者，积极投身全面依法治国伟大实践，为建设社会主义法治国家作出新贡献。
	王晨强调，法学法律工作者要在学习研究践行习近平法治思想上走在前、作表率，切实把科学理论贯彻落实到全面依法治国各项工作之中。要始终坚持党的领导，坚持正确政治方向，坚定不移走中国特色社会主义法治道路。要深入研究阐释习近平法治思想，准确理解这一重要思想的基本精神、核心要义、丰富内涵和实践要求，深刻把握其形成发展的实践逻辑、理论逻辑和历史逻辑，推进法学理论、法律制度和法治文化创新发展。要紧紧围绕经济社会发展重大问题和人民群众日益增长的法治需求，推出更多高质量研究成果，培养更多高素质法治人才。要积极参与涉外法治斗争，更好运用法治方式应对挑战、防范风险、反制打压，坚决维护国家主权、安全和发展利益，维护中国法律的尊严不容侵犯。
	座谈会上，第九届“全国杰出青年法学家”获奖代表王迁、李洪雷、陈柏峰、聂鑫、栗峥作了发言。"
李克强主持召开国务院常务会议,2020-12-09,"新华社北京12月9日电 国务院总理李克强12月9日主持召开国务院常务会议，部署促进人身保险扩面提质稳健发展的措施，满足人民群众多样化需求；通过《医疗保障基金使用监督管理条例（草案）》和《排污许可管理条例（草案）》。
	会议指出，按照党中央、国务院部署，推进完善金融服务，促进人身保险发展，有利于更好服务民生保障和经济社会发展。近年来我国人身保险平稳较快发展，目前商业人身保险已在全国达到一定覆盖面，但也存在保险产品供给不足、保障水平不高等问题。要适应群众对健康、养老、安全保障等需求，推动保险业深化改革开放、突出重点优化供给，提供丰富优质的人身保险产品。一是加快发展商业健康保险。支持开发更多针对大病的保险产品，做好与基本医保等的衔接补充，提高城乡居民大病保险保障能力。促进开发适应广大老龄群体需要和支付能力的商业医疗保险产品。鼓励保险公司将医保目录外的合理医疗费用纳入保障范围。通过有序扩大对外开放、加强国际合作，促进提升健康保险发展和服务水平。二是按照统一规范要求，将商业养老保险纳入养老保障第三支柱加快建设。强化商业养老保险保障功能，支持开发投保简便、交费灵活、收益稳健的养老保险，积极发展年金化领取的保险产品。针对新产业新业态从业人员和各种灵活就业人员需要，开发合适的补充养老保险产品。鼓励保险公司提供老龄照护、养老社区等服务。鼓励保险业参与长期护理保险试点。三是提升保险资金长期投资能力，防止保险资金运用投机化，强化资产负债管理，加强风险防控。对保险资金投资权益类资产设置差异化监管比例，最高可至公司总资产的45%，鼓励保险资金参与基础设施和新型城镇化等重大工程建设，更好发挥支持实体经济作用。深入开展关联交易专项整治，坚决打击挪用、套取、侵占保险公司资金的违法违规行为。
	会议通过《医疗保障基金使用监督管理条例（草案）》，坚持以人民健康为中心，确定了医保部门、定点医药机构、参保人员等的权责，规定按照便民原则，强化医疗保障服务，及时结算和拨付医保基金，提高服务质量，要求加强监管和社会监督，严禁通过伪造、涂改医学文书或虚构医药服务等骗取医保基金，对违法违规行为通过责令退回资金、暂停医保结算、罚款、吊销定点医药机构执业资格等加大惩戒，管好用好医保资金，维护群众医疗保障合法权益。
	会议通过《排污许可管理条例（草案）》，明确根据污染物产生量、排放量、对环境影响程度等，对排污单位实行分类管理，规范排污许可证申请审批程序，要求排污单位建立环境管理台账记录制度、公开排放信息，强调加强事中事后监管，对违法行为加大处罚力度，采取按日连续处罚和停产整治、停业、关闭等措施从严处理，提高违法成本。
	会议还研究了其他事项。"
中国非洲人民友好协会成立60周年庆祝活动在京举行,2020-12-09,新华社北京12月9日电（记者董雪）中国非洲人民友好协会成立60周年庆祝活动9日以线上线下相结合的方式举行。全国政协副主席、中国非洲人民友好协会会长李斌出席并致辞。非洲国家驻华使节和中非各界代表约200人参加活动。
民革十三届四中全会在京召开,2020-12-09,"新华社北京12月9日电 中国国民党革命委员会第十三届中央委员会第四次全体会议12月9日在北京召开。会议的主要内容是学习贯彻中共十九届五中全会精神，听取和审议民革第十三届中央常务委员会工作报告和中央监督委员会工作报告等。民革中央主席万鄂湘代表民革第十三届中央常务委员会作工作报告，民革中央常务副主席郑建邦主持开幕会。
	万鄂湘在回顾总结工作时指出，一年来，民革全党以习近平新时代中国特色社会主义思想为指导，深入贯彻落实中共中央关于加强中国特色社会主义参政党建设有关文件精神，不断增强“四个意识”，坚定“四个自信”，做到“两个维护”，积极践行“四新”“三好”要求，为打赢新冠肺炎疫情防控阻击战献计出力，以民革“组织建设年”为契机，扎实推进思想政治建设，着力夯实组织建设基础，认真履行参政党职能，不断深化制度建设和作风建设，各项工作迈上新台阶。
	关于明年的工作，万鄂湘提出，2021年是中国共产党成立100周年，是我国“十四五”规划开局之年。民革全党要以习近平新时代中国特色社会主义思想为指导，深入学习贯彻中共十九大和十九届二中、三中、四中、五中全会精神，深入践行“四新”“三好”要求，以“作风建设年”为抓手，全面加强自身建设，切实履行参政党职能，推动各项工作取得新进展，奋力谱写履职尽责新乐章。
	会议还审议了民革第十三届中央常务委员会关于中央参政议政工作情况的报告。"
民盟十二届四中全会在京召开,2020-12-09,"新华社北京12月9日电 中国民主同盟第十二届中央委员会第四次全体会议9日在北京开幕。民盟中央主席丁仲礼代表民盟第十二届中央常务委员会作工作报告，民盟中央常务副主席陈晓光主持开幕会。
	丁仲礼指出，一年来，民盟认真学习贯彻习近平新时代中国特色社会主义思想、中共十九大和十九届二中、三中、四中、五中全会精神，坚决贯彻执行中共中央各项决策部署，围绕抗击疫情和促进经济社会发展双任务履职尽责。全盟思想政治建设平稳有序，立足“五位一体”总体布局和“四个全面”战略布局，助力决胜全面建成小康社会，积极参加高层政治协商，充分利用政协平台建言献策，深入开展调查研究，稳步提升反映社情民意信息工作质量，充分发挥智库平台作用，继续落实脱贫攻坚民主监督任务，助推定点帮扶地区脱贫攻坚，深化社会服务品牌建设，扎实推进组织建设和机关建设，全盟各项工作取得新进展。
	关于2021年工作，丁仲礼要求，全盟要更加紧密地团结在以习近平同志为核心的中共中央周围，准确把握新发展阶段的战略定位和历史任务，以正确政治方向引领自身建设，以新发展理念指导履职实践，为制定实施好“十四五”规划和全面建设社会主义现代化国家开好局、起好步作出贡献。要将深入学习贯彻习近平新时代中国特色社会主义思想作为首要政治任务，引导广大盟员不断巩固合作奋进的思想政治共识，做自觉接受中国共产党领导、同中国共产党通力合作的亲密友党和好参谋、好帮手、好同事；要突出助力做好改革、开放、创新这三篇大文章，深入调查研究，有效资政建言，扎实做好脱贫攻坚民主监督工作总结和社会服务工作，努力推动民盟工作再上新台阶。
	会议还审议了民盟第十二届中央监督委员会工作报告等。"
2020两岸企业家峰会年会召开 汪洋致信祝贺,2020-12-09,"新华社厦门12月9日电 2020两岸企业家峰会年会9日以视频连线方式在厦门市和台北市同步举行。中共中央政治局常委、全国政协主席汪洋向两岸企业家峰会理事会发贺信，代表中共中央和习近平总书记，对年会召开表示祝贺，向峰会全体会员和与会嘉宾致以问候。
	　　汪洋表示，经济合作是两岸关系发展的基础，符合两岸同胞共同利益。尽管受新冠肺炎疫情冲击，今年前10个月两岸贸易额仍实现两位数增长，充分反映出两岸经济合作动力强、潜力大、韧性足。
	　　汪洋强调，中共十九届五中全会擘画了“十四五”时期大陆经济社会发展蓝图，提出了到2035年基本实现社会主义现代化的远景目标，这必将为广大台企台胞带来重大机遇和长期利好。我们将坚持一个中国原则和“九二共识”，以两岸同胞福祉为依归，推动两岸关系和平发展、融合发展，加强两岸产业合作，打造两岸共同市场，壮大中华民族经济。我们将完善保障台湾同胞福祉和在大陆享受同等待遇的制度和政策，支持台商台企参与“一带一路”建设和国家区域协调发展战略，进一步加大政策落实力度，让台企台胞有更多获得感。
	　　汪洋指出，企业是两岸经济合作的主体，也是推动两岸关系发展的功臣。希望峰会双方理事会团结带领两岸企业家秉持民族大义，把握发展大势，将两岸经济合作的“蛋糕”越做越大，让两岸同胞的利益福祉越来越好，同心共襄民族复兴千秋伟业。
	　　峰会大陆方面理事长郭金龙、副理事长张平等在厦门出席年会，700多位两岸工商界人士参会。"
新疆维吾尔自治区党委举行理论学习中心组集体学习 陈全国主持,2020-12-09,"本报乌鲁木齐12月8日讯 全媒体记者姚彤、王兴瑞报道：日前，自治区党委举行理论学习中心组集体学习，深入学习习近平总书记关于学习马克思主义经典的重要论述和习近平新时代中国特色社会主义思想的基本精神、基本内容、基本要求。自治区党委书记陈全国主持集体学习。
	　　雪克来提・扎克尔、肖开提・依明、努尔兰・阿不都满金、李鹏新、艾尔肯・吐尼亚孜、田文、李邑飞、沙尔合提・阿汗、杨鑫、张春林等出席会议。
	　　会上，陈全国、肖开提・依明、艾尔肯・吐尼亚孜、张春林交流了学习体会，其他自治区党委常委同志和自治区政协主要负责同志作了书面交流发言。大家一致表示，习近平总书记关于学习马克思主义经典的重要论述，系统阐释了马克思主义的基本原理和方法论，创新发展了一系列新理念新思想新论断，明确提出了学习马克思主义经典的具体要求。要切实把思想和行动统一到习近平总书记重要论述上来，不断增强学习马克思主义经典的思想自觉、政治自觉、行动自觉，不断提高运用马克思主义基本原理解决实际问题的能力和水平。大家一致表示，深入学习马克思主义经典，核心和关键是要认真学习好、深入领会好习近平新时代中国特色社会主义思想这一当代马克思主义、21世纪马克思主义。要坚持原原本本学、全面系统学、联系实际学，切实做到学深悟透、融会贯通、真信笃行，坚持用习近平新时代中国特色社会主义思想武装头脑、指导实践、推动工作。
	　　在认真听取大家的发言后，陈全国作了发言。他指出，习近平新时代中国特色社会主义思想，是马克思主义中国化最新成果，是党和人民实践经验和集体智慧的结晶，是中国特色社会主义理论体系的重要组成部分，是全党全国人民为实现中华民族伟大复兴而奋斗的行动指南，必须长期坚持并不断发展。要增强“四个意识”、坚定“四个自信”、做到“两个维护”，始终坚持把学习习近平新时代中国特色社会主义思想作为首要政治任务，努力掌握贯穿其中的马克思主义立场观点方法，切实学出坚定信念、学出绝对忠诚、学出使命担当。要深入学习领会习近平新时代中国特色社会主义思想的核心要义，深刻认识新时代中国特色社会主义的本质特征、发展规律和建设路径，自觉做共产主义远大理想和中国特色社会主义共同理想的坚定信仰者和忠实践行者。要深入学习领会习近平新时代中国特色社会主义思想的科学体系，深刻把握蕴含其中的丰富内涵，坚定不移走中国特色社会主义道路。要深入学习领会习近平新时代中国特色社会主义思想的实践要求，准确把握新时代坚持和发展中国特色社会主义的基本方略，在各项工作中全面准确地贯彻落实好。要深入学习领会习近平新时代中国特色社会主义思想的最新成果，保持勤学不辍、常学常新的精神，持续跟进学，反复深入学，进一步统一思想、统一认识、统一步调、统一行动。要深入学习领会习近平新时代中国特色社会主义思想的新疆篇章，坚持用好常态化学习机制，深入学习习近平总书记关于新疆工作的重要讲话和重要指示精神，学习领会第三次中央新疆工作座谈会精神，不断转化为全面贯彻新时代党的治疆方略、推进新疆社会稳定和长治久安的强大动力，努力建设新时代中国特色社会主义新疆。"
广东省委召开系列提案办理情况汇报会 李希主持会议,2020-12-09,"南方日报讯 （记者/徐林 通讯员/岳宗）近日，省委在广州召开“充分发挥‘双区’建设和‘双城’联动作用，全面深化改革开放，提高社会治理体系和治理能力现代化水平”系列提案办理情况汇报会。省委书记李希主持会议并讲话，省政协主席王荣出席会议。
	　　今年，九三学社、民革、民建、致公党、民盟、农工党广东省委会以及省政协委员刘启德、邹锡昌、隋广军、陈汝鑫、陈瑾，提出了“充分发挥‘双区’建设和‘双城’联动作用，全面深化改革开放，提高社会治理体系和治理能力现代化水平”的系列提案。省委对提案办理高度重视，省委书记李希牵头督办，并成立协调小组，明确由省委办公厅牵头，省发展改革委（省大湾区办）主办，34个会办单位共同办理。办理期间，省委召开有关专题会议，研究推动相关工作。各相关单位分工负责、密切配合推进提案办理，不少意见建议已经被转化为具体工作举措。
	　　李希充分肯定系列提案办理取得的积极成效。他强调，要深入学习贯彻习近平总书记出席深圳经济特区建立40周年庆祝大会和视察广东重要讲话、重要指示精神，进一步增强责任感使命感，把办理好政协提案作为重要抓手，凝心聚力落实好“1+1+9”工作部署，以实际行动为广东在新征程中走在全国前列、创造新的辉煌贡献智慧和力量。一要把思想和行动统一到总书记重要讲话、重要指示精神上来，对照总书记总结的经济特区建设“十个必须”宝贵经验、部署的重大任务，从更高视角以更高要求审视省情市情县情，发挥独特优势作用，进一步深化“1+1+9”工作部署，更好地把总书记、党中央决策部署落到实处。二要着力抓好提案成果转化，突出重点、精准发力，形成更多务实举措。持续在“双区”建设和“双城”联动上下功夫，释放牵引全省现代化建设的强大驱动效应。持续在全面深化改革开放上下功夫，谋划推动创造型、引领型改革，加快建设更高水平开放型经济新体制，激发推动高质量发展的强大动力。持续在提高社会治理体系和治理能力现代化水平上下功夫，坚持底线思维、增强忧患意识，着力提高防范化解重大风险的能力，形成有效统筹发展和安全的强大合力。三要充分发挥人民政协优势，强化政协委员履职尽责，更好投身新发展阶段广东改革发展生动实践。全省各级政协要提高政治站位，立足统一战线功能，凝聚各方力量，围绕中心工作，积极建言献策，为广东在新征程中开好局、起好步作出更大贡献。全省各级党委政府要重视和支持政协工作，为政协委员履职尽责创造有利条件。
	　　王荣强调，省委高度重视政协工作，积极推动政协提案意见建议的落实转化，凝聚社会各界智慧和力量，有力推动新时期我省人民政协事业发展。省政协要认真学习贯彻习近平总书记重要讲话、重要指示精神，发挥好专门协商机构作用，围绕推动广东在新征程中走在全国前列、创造新的辉煌贡献智慧和力量，深入把握“1+1+9”工作部署，认真开展调查研究，高质量履职建言，努力提出更多有建设性的对策建议。要搭建更多协商民主平台，推动政协协商向基层延伸，切实做好大团结大联合工作，广泛凝聚共识，汇聚强大合力。
	　　会上，提案单位和提案人代表张少康、刘启德分别发言。
	　　省领导林克庆、张福海，广州市市长温国辉、深圳市市长陈如桂参加会议。"
李强主持上海市委全面依法治市委员会会议,2020-12-09,"科学立法 严格执法 公正司法 全民守法
	
	　　■要在科学立法、严格执法、公正司法、全民守法上共同发力，全面提升上海法治建设整体水平。进一步提高立法质量和效率，以高质量立法助推高质量发展。在法治政府建设上率先突破，加快转变政府职能。巩固和扩大深化改革成效，深化司法责任制综合配套改革，不断提高司法公信力，努力让人民群众在每一个司法案件中感受到公平正义。大力推进法治社会建设，加大全民普法工作力度，加快完善公共法律服务体系
	
	　　本报讯（记者 谈燕）市委全面依法治市委员会昨天上午举行会议。市委书记、市委全面依法治市委员会主任李强主持会议并强调，要深入贯彻落实党的十九届五中全会和中央全面依法治国工作会议精神，坚持以习近平法治思想为指导，以更高站位、更高质量推进全面依法治市，不断提升上海法治建设整体水平，努力使法治成为城市核心竞争力的重要标志。
	
	　　市委副书记、市长、市委全面依法治市委员会副主任龚正，市人大常委会主任、市委全面依法治市委员会副主任蒋卓庆，市委副书记、市委全面依法治市委员会副主任于绍良出席会议并讲话。
	
	　　会议指出，要深入学习贯彻习近平法治思想，紧密结合学习贯彻习近平总书记考察上海重要讲话精神，找准上海全面依法治市工作的着力点和发力点，统筹考虑改革发展形势、法治上海建设进程和人民群众法治需求，谋划好法治上海建设蓝图。要围绕上海“十四五”规划实施，不断强化法治引领保障，积极开展法治实践创新，推动习近平法治思想在上海落地生根。
	
	　　会议指出，要在科学立法、严格执法、公正司法、全民守法上共同发力，全面提升上海法治建设整体水平。进一步提高立法质量和效率，以高质量立法助推高质量发展。在法治政府建设上率先突破，加快转变政府职能。巩固和扩大深化改革成效，深化司法责任制综合配套改革，不断提高司法公信力，努力让人民群众在每一个司法案件中感受到公平正义。大力推进法治社会建设，加大全民普法工作力度，加快完善公共法律服务体系。
	
	　　会议强调，要加强党对全面依法治市的领导。全市各级党政主要负责人要切实履行推进法治建设第一责任人职责，把法治建设同经济社会发展同部署、同推进、同考核。进一步发挥市委全面依法治市委员会职能作用，夯实全面依法治市工作队伍基础，更好服务上海改革发展大局。
	
	　　会议听取全面依法治市2020年工作总结和2021年工作要点的汇报，审议了关于加强综合治理从源头切实解决执行难问题的实施意见和有关工作计划等。
	
	　　市领导刘学新、陈寅、周慧琳、徐泽洲、舒庆，市高级法院院长刘晓云、市检察院检察长张本才出席会议。"
天津市举行世界经济论坛跨国企业代表欢迎会 李鸿忠出席,2020-12-09,"本报讯（记者 魏�� 米哲 于春沣）8日晚，我市在迎宾馆举行世界经济论坛跨国企业欢迎会，对各跨国企业代表来津调研表示诚挚欢迎，共同交流商讨深化对外开放合作、推动外商在津投资发展事宜。市委书记李鸿忠、国家发展改革委秘书长赵辰昕、世界经济论坛大中华区首席代表艾德维出席，市委副书记、市长廖国勋致辞。
	　　廖国勋在致辞时说,“开放一座城，迎接全世界”，天津地处京津冀“海上门户”、“一带一路”海陆交汇点，产业基础雄厚，创新能力突出，营商环境优越，特殊经济区域形态齐全。近年来，在津外商投资企业为天津经济社会发展作出突出贡献。当前，我们正全力抢抓京津冀协同发展重大历史机遇，在构建以国内大循环为主体、国内国际双循环相互促进的新发展格局中展现天津作为。开放的大门会越开越大，发展的前景会越来越好。让我们携手并肩、聚智谋远，分享机遇、擘画未来，共同谱写合作共赢的崭新篇章。
	　　12月8日至10日，国家发展改革委和世界经济论坛将组织在华跨国企业赴津开展调研活动和政企交流会，深入了解我市稳外资稳外贸政策、改善营商环境举措，分享行业发展经验，共同谋划在津投资兴业和长期合作，助推天津产业升级和经济高质量发展。
	　　松下电器、克诺尔、诺维信投资、欧瑞康、普华永道、安盛保险、欧力士、汇丰银行、西门子、高通无限通信、思爱普软件、三星集团、西门子交通、爱尔康等世界经济论坛跨国会员企业代表，国家发展改革委有关负责同志，市领导马顺清、于立军、金湘军、王卫东和市政府秘书长孟庆松参加。"
