title,date,body
浙江平阳，园区党建共同体助企转型升级,2020-12-08,"本报杭州12月7日电  （记者窦瀚洋）近日，浙江省平阳县水头镇皮革皮件小微企业园区党总支微信群里有些热闹，原来是新一轮乳胶采购开始了。消息一发出来，企业家们纷纷响应，陆续加入订单接龙。“企业家只要在群里报个订单量就行，我们会全权负责，拿的还是批发价，省钱又省心。”小微园党总支书记吴孔准介绍，这种“材料共购”活动今年已开展了4次，一桶2400多元的乳胶可以节省300多元，累计为企业节约原材料成本100多万元。
	吴孔准口中的“材料共购”活动正是该园区打造党建共同体、实现抱团发展的生动实践。今年初，水头镇皮革皮件小微园党总支牵头成立党建共同体，覆盖园区内的100多家企业，引领小微企业转型升级。
	据了解，平阳县8个省级认定的小微园目前已全部建成党建共同体，下一步将继续做实做优服务，真正为小微企业解决“成长烦恼”。"
江苏泰州，党建创品牌 惠民有特色,2020-12-08,"本报南京12月7日电  （姚雪青、王超）泰有福、泰有礼、泰爱才……今年以来，江苏省泰州市在市级机关开展“深化‘三务’融合，塑造‘泰’系列品牌”活动，深化拓展党建服务品牌内涵，构建“党建+民生服务”新模式，提升打造系列品牌、体现城市温度。
	近年来，泰州市推进党务业务服务“三务”融合，“泰有”民生服务品牌初成系列，涵盖市场监管、行政审批、医疗卫生等群众关切的多个领域，呈现出“特色化、多元化、系列化”特点。例如，“泰优教”品牌聚焦更好的教育，实现优质均衡；“泰满意”品牌旨在方便企业、群众办事，推进便捷服务。
	今年，泰州市委市级机关工委牵头，通过座谈交流、实地走访、征求意见等形式，出台了《深化“三务”融合、塑造“泰”系列品牌两年行动计划》。《行动计划》以10个方面的“泰”系列民生品牌为统领，分层级开展培育选树工作，到今年底将培育选树品牌20个左右。"
用好大数据 监督更有力,2020-12-08,"近日，浙江建德市杨村桥镇项目管理中心主任胡葆华通过清廉建德智慧监督平台发现，绪塘村有一道路硬化工程亮了黄灯，系统提示施工单位的投标合同不规范。胡葆华立即联系绪塘村项目负责人，要求其催促企业整改合同。
	2019年以来，浙江建德市着力建设清廉建德智慧监督平台，采集25个部门、16个乡镇（街道）、256个村（社区）的数据信息，形成超过1.5亿条的“数据池”，并在此基础上，研发数据比对模型，大力推行智慧监督。“这些比对模型就像红外线探测网，触碰到任何一点，都会引发报警。”建德市纪委监委党风政风监督室主任夏成毅说。
	“一年中标30次，这个企业‘不一般’。”2019年9月，清廉建德智慧监督平台针对一个投标单位发出监测预警。建德市纪委监委随即开展进一步核查，不仅发现该企业串通20多家单位投标的事实，还查明有关部门工作人员的受贿问题，彻底斩断“利益链”。
	为做实做细监督职责，强化权力运行监督，建德市着力推进清廉建德智慧监督平台向基层一线延伸。如今，依托监督平台，全市16个乡镇（街道）都有数字监察办公室，重点聚焦政治生态分析、小微权力监管、重点工作比拼等内容。“比如，小微权力监管模块主要是对村（社区）‘三资’情况、合同情况的分析预警。如果某个村出现超期未缴纳租金的情况，系统会有红色预警，并发送短信给承租方、镇纪委监察办和村党支部书记。”建德市杨村桥镇纪委书记华爱民说。
	同时，依托监督平台，全市的256个村（社区）都张贴了“清廉乡村智慧管家”的微信二维码。村民扫扫二维码，即可查看了解“村两委”工作，如果对村里的事务有意见建议，还可以留言，实现纪检监督与群众监督的有机结合。
	“我们努力构建覆盖市、镇、村的立体监督网络，同时盯紧权力运行各个环节，强化建模分析，数字赋能纪检监察，让监督更智慧、更有力。”建德市委常委、市纪委书记、监委主任周萍英说。"
山东济宁任城区以党建引领高质量发展，统筹资源 优化服务,2020-12-03,"本报济南12月2日电  （记者潘俊强）10分钟，能干什么？在山东济宁市任城区仙营街道，刘玲玲办完手续，顺利拿到了纸质营业执照。
	原来，在仙营街道“两新”组织党建联盟的协调下，“秒批机”进驻楼宇，企业营业执照可在自助机上办理。过去，面对辖区众多小微企业，“两新”组织所发挥的作用十分有限。如今，济宁市任城区的“两新”组织党建联盟通过党建引领、楼宇统筹、联动融合、合力共建的方式，打出了一套服务“组合拳”。在企业审批上，联盟为楼宇企业提供帮办、代办、协办服务及预约服务，帮企业和群众办事“足不出楼”。此外，联盟充分发挥党组织和群团组织的资源优势，探索出一套有创新、有温度、有发展的基层社会治理模式。"
安徽亳州推动纪检监察干部进基层，来到群众身边 解开群众心结,2020-12-02,"“俺们反映的问题都查明了，心里的疙瘩就解开了。”日前，安徽省亳州市谯城区张店乡魏庄村的一位村民很高兴，他反映的问题得到了明确答复，区纪委监委的同志给他讲清了政策。
	不久前，亳州市纪委监委启动百名纪检监察干部“进基层、抓监督、解难题、暖民心”专项工作。工作中，市、县（区）纪委监委领导班子成员带队，抽调精干力量，组建工作专班，实行“一人一策”“一案一策”，做到上下联动、协同作战，同频共振、同向发力。
	魏庄村这位村民的信访件就是“难题”之一。工作组核查发现，他此前之所以对办理结果不满意、不接受，是因为工作人员回访时，没有把政策讲清楚、讲到位。据此，市纪委监委包案人员多次开展回访，并邀请有名望的老党员、群众做好解释工作，彻底解开了这位村民的心结。
	据了解，亳州市纪检监察干部“进基层、抓监督、解难题、暖民心”专项工作已经连续开展3年。3年来，在专项工作中，亳州市、县（区）纪委监委先后化解信访案件350余件，力争做到小事不出村、大事不出镇，坚决杜绝“小事拖大、大事拖久”的现象发生。
	“纪检监察干部深入基层一线，面对面倾听群众心声，解决基层‘微腐败’问题，让基层党员、干部受教育受警醒。在专项工作中，纪检监察干部来到群众身边，能够帮助解决急难愁盼问题，群众心里更踏实了。”亳州市纪委书记、监委主任吕剑说。"
江苏扬州市邗江区，打造“四心”红色物业,2020-12-01,"本报扬州讯 （通讯员 邗组轩）今年以来，江苏扬州市邗江区探索党建引领下的“红色物业”新格局，制定实施《邗江区实施“四心”红色物业三年行动计划的意见》，以强“核心”、促“同心”、系“连心”、赢“民心”为导向，新建25个物业企业党组织，在城市社区推广“红色业委会（物管会）”模式，打造了10个可看、可听、可学的红色物业示范小区。
	该区探索组建区级物业行业党委，按照“双重管理”的原则，在不接转组织关系的前提下，把业委会、物业服务企业党组织纳入行业管理范畴。开展物业服务企业党建，联合区住建局党委对全区89家物业服务企业进行重点排查，共排查出党员181人，目前已成立物业企业党组织20个。加强街道社区党组织把关，因地制宜抓好业委会党建，不断注入红色基因。
	该区落实“双向进入、交叉任职”机制，推荐符合条件的“两委”班子成员或网格支部书记，通过法定程序进入业委会；推荐业委会委员、物业服务企业中的党员担任社区党组织兼职委员。全区40名小区业委会（物管会）主任中，党员25名；15名社区干部在业委会（物管会）任职。面向城市街道居民小区、商业科创综合体全面推广“红色物管会”，创新“三三三”管理模式，即：划分基础型、商品型、专业型三类对象，贯通区级、街道、社区三个层面，把握组织体系、议事规范、红管团队三大关键，打通社区组织、业委会、物业公司和驻区单位、主管部门之间的区块链条，解决群众关注、切口较小、长期未突破的共性难题。
	此外，该区突出队伍引领，物业“红管家”兼任小区网格员，设立“党员服务岗”，主动收集业主信息，量身定制服务菜单。设置“业主党员报到点”，鼓励党员走出家门，参与小区治理。依托“红色物业”平台，组织各物业企业党支部与区级机关部门、社区党组织结对共建，探索部门“邀约制”，推动行政力量、社会力量不断下沉小区。今年以来，在万科、恒通、康乐、永旭等多个物业公司小区项目上，开展“联合接访日”活动，让“小区吹哨、部门报到”成为现实。"
江苏扬州市邗江区实现村级党组织纪检委员应设必设，既监督“事”也监督“人”,2020-12-01,"“没想到，我们反映的问题，这么快就得到落实。” 江苏扬州市邗江区双桥街道居民王成礼觉得挺意外。
	原来，前段时间，双桥街道群众向街道纪工委反映部分社区和村组账目不规范，街道纪工委立即组织人员进行排查整顿，截至目前，已给予6人党纪政务处分。
	“大事怎么做？干部怎么样？都要百姓说了算。”邗江区纪委监委有关负责人介绍，邗江区纪委监委创新工作方法，探索双轮驱动基层监督方式，用村务监督委员监督“事”，同时配齐配强村（社区）纪检委员，用党内监督监督“人”。
	“大家的意见，我会及时向上汇报。”这几天，公道镇湖滨村村务监督委员谢传桂挨家挨户跑了一遍，征求村民对村里路段维修的意见。“我是大家选的，有责任替大家说话。”谢传桂说，去年，村里成立村务监督委员会，自己被乡亲们推选为委员会成员。
	邗江区纪委书记、监委主任徐明介绍，过去村里也有村务监督委员会，但由于成员年龄偏大、对村务了解不深等原因，导致发挥作用不够，职能逐渐虚化。去年以来，邗江区配齐配强监督力量，还从规范化入手，明确了监督方向、监督方式、监督成果运用等。
	村务监督委员会，重点对村务决策、村级财务、工程建设等八大事项进行监督。既管好事，也管好人，强化对人的监督，邗江区出台规定，要求村级党组织纪检委员“应设必设”，且每月入户走访不少于40户。
	在邗江，村级纪检委员有143名，实现了村与社区的全覆盖。据介绍，该区从建立村级党组织纪检委员规范履职制度入手，把监督建在支部，织密村级监督网格，构建邗江“横到边、纵到底、全覆盖”的监督网络。"
难题共解 发展共促,2020-11-30,"本报贵阳11月29日电  （记者汪志球）联合联动，区域协同，今年3月起，贵州省贵阳市息烽县开展党建示范带建设，探索党建新格局。
	针对基层党建工作中存在水平不均衡、资源不均等、标准不统一等突出问题， 息烽县探索建立党建示范带创新融合模式，推动各领域党组织优势互补、合力攻坚。党建示范带建设把党建工作与产业革命、乡风文明、生态环境保护、基层社会治理等工作紧密结合起来，推动基层党组织建设从内容、形式、方法、手段等方面创新。据了解，通过各种资源整合，息烽县年底前将建成3条党建示范带：城乡互联互建红旅融合党建示范带、“一品一业”产城互动党建示范带、乡村旅游温泉养生融合党建示范带，将推动实现组织共建、资源共享、难题共解、发展共促。
	根据党建示范带工作需要，息烽将进一步充实县乡村三级创建主体力量，配优配齐基层党（工）委领导班子，及时将优秀青年、致富能人等吸纳进党组织，将党组织建在产业链上、项目上、网格上，推进党的工作下沉一线。"
党员先行 带动居民前行（基层治理新实践）,2020-11-30,"核心阅读
	《关于加强和完善城乡社区治理的意见》要求，继续推进街道（乡镇）、城乡社区与驻社区单位共建互补，深入拓展区域化党建。为进一步统筹辖区资源、提升服务水平，宁夏银川兴庆区以党建为引领，发挥区域化党建优势，组织推动党员深度参与基层治理，切实便利群众。
	一把剪刀，几张红纸，伴随着轻微的沙沙声和飘落的纸屑，不多时，一幅惟妙惟肖的剪纸作品就出炉了。在宁夏银川兴庆区解放西街文艺社区市民驿站，孙春玲在房间里来回踱步，看到有学员手法不对，她便动手示范。
	孙春玲到市民驿站做剪纸老师已有4个多月，她的“学生”大都是附近社区的老人。“许多老人来这里学学剪纸，也能解解闷儿。”解放西街街道党工委书记李小芹说，在市民驿站里，类似的服务还有很多。
	“群众有迫切需求，我们就尽力实现。”兴庆区委书记刘甲锋介绍，为了进一步统筹辖区资源、提升服务水平，近年来，兴庆区以党建为引领，推出了市民驿站、社区三级微管理体系、党建联盟等多项创新举措，构建起了开放融合、共治共享的基层治理格局。
	
	
	“两荤一素，只要8块钱。”在文艺社区市民驿站一楼的老年食堂里，60多岁的杜华阿姨笑盈盈地介绍着她的午餐。退休后，上午排练舞蹈，中午下楼吃饭，周末带着孙子上科技兴趣班，这些都能在家门口的市民驿站完成。
	一栋6层小楼，内有为老年人提供医疗保健的中医堂、让青少年学有所去的兴趣课堂、向辖区居民提供解纷止争服务的社区微法庭……全方位的便民服务实现了一站式进驻。
	“可在以前，居民办事多处跑、业余生活没地去，就是跳个广场舞也没有场地。”解放西街街道办事处副主任王�此担�群众的呼声就是改进的动力，建设市民驿站的想法由此萌生。
	为了更加精准地了解居民所需，解放西街前期召开党员大会和楼院议事会8次，网格员入户2500多户，收集整理意见建议26类1600余条，为驿站功能设置做足功课。最终，在不同楼层设置了面向“老、少、青和团体”4类对象的服务项目，让一家老小的需求都可以得到满足。“大部分项目都是免费的。”刚刚带孙子玩完沙盘游戏的刘立冬说，“我练书法、他玩游戏，轻松又放心。”
	可场地维护、项目运营……处处要花钱，免费开放的底气在哪里？李小芹说，这得益于辖区各领域党组织的共建。为了充分发挥区域化党建优势，统筹整合各类服务资源，在驿站建设过程中，自治区卫健委、妇女儿童活动中心、关工委等驻区单位，以及一些社会组织、非公企业都积极响应号召，提供资源、项目支持，形成共建共治合力。
	科技馆里的小机床、音乐室里的电子钢琴、舞韵室里的免费授课……各共建单位不仅提供了群众所需的多样化服务，还派党员常驻，积极认领服务岗位。原来在兴庆区人民法院工作的蔡涛，现在是社区微法庭的一名法官：“我们把阵地前移到社区，既节省了司法资源，也方便了辖区群众。”
	同时，社区党委也积极组织无职党员加入到市民驿站的服务队伍里，以党员先行带动居民前行，让市民驿站成为强化党员教育管理的“红色阵地”和在职党员开展社区志愿服务的“红色驿站”。“下一步，我们将继续完善服务机制，搭建智慧管理系统，让基层治理效能充分释放。”文艺社区党支部书记赵敏说。
	
	
	提起姬怀礼，小区居民的第一印象就是热心肠。平日里没啥事，63岁的姬怀礼爱在小区里溜达，见人总是笑呵呵。
	只是这一次，老姬收起了笑脸，板起了严肃面孔。“小区里那么多孩子，遛狗怎么没牵绳。”老姬语气里带着责备，可话锋一转，又温和地提醒，“先回家牵好绳子。”
	姬怀礼是谁？退休前，他是一名老师。退休后，他是兴庆区前进街道银华社区的一名党员楼栋长。有人房子裂缝了，他带着业主去找物业维修；有人在消防通道上堆放了杂物，他一边向社区汇报，一边动手挪开。
	像他这样的楼栋长，银华社区还有不少。银华社区是新小区，光是塞上骄子一区就下辖2020户3100多人。“只靠社区工作人员，要想全覆盖服务大家，确实有难度。”社区党支部书记闫维静说，所以就得发动起社区党员力量。
	今年2月，银华社区以小区为单元，整合塞上骄子一区32栋楼，成立了党支部，464名党员加入其中。同时，银华社区将小区划分为5个网格，招募楼栋长、单元管家，其中大部分都是党员，形成了“网格员――楼栋长――单元管家”三级微管理体系。社区同时根据个人意愿与专业特长，将大家匹配到理论宣传、治安联防、文明劝导等岗位，一同参与小区治理。
	“党员网格员、楼栋长的优势除了热心、负责，更多的还是与住户熟，更懂他们的需求。”银华社区党支部副书记吴萍说，小区里有近2/3住户是年轻的上班族。每逢工作日，老人们就只能独自在家。10月23日，在重阳节前夕，社区联合区内一家社会组织，开展了敬老活动。现场，社工为老人们提供了免费按摩、针灸服务。
	以前，走在高楼林立的小区里，闫维静常常会担心自己忙不过来而影响对住户的服务。现在，这支党员队伍分担了她的压力。“社区虽大，可越来越像一家人了。”
	
	
	“两位老人前来咨询横店电影院怎么走”“一个女孩逛街时把行李寄存在这里”……在新华商圈红色志愿服务驿站前，志愿者杨佩佩没闲着。
	小杨所在的地方是银川有名的老商业圈。熙熙攘攘的人群穿行在胜利街上，逛街购物、观光游玩。人流大，商户多，治理难度着实不小。过去，每逢顾客和商户起纠纷、游客财物丢失等问题发生，辖区管理人员都要忙活半天。“主要还是互不隶属，没有形成治理合力。”新华街街道办事处副主任苏敏坦言。
	2017年，在兴庆区区委的协调下，新华街、中山南街、文化街、前进街四个街道整合资源，将156家辖区企业纳入到新华商圈“大党委”，建立运行了联席会议制度。各成员单位晒出供需清单，也将一些流动党员纳入管理，形成了“组织共建、党员共管、设施共享、活动共办”的联合组建、挂靠培养模式。
	前些日子，一名外卖小哥送餐途中手机突然没电，来到新华商圈职工驿站求助，值班的党员志愿者拿出准备好的充电宝，这才救了急。苏敏说，“大党委”成立后，像职工驿站这样的便民服务设施都是可以共享的。各成员单位派党员来值班，既服务了群众，也教育了党员。
	而对辖区企业来说，商圈“大党委”的成立则激活了他们的责任感。今年初，由于疫情防控需要，银川商城的许多党员职工主动申请参与疫情防控。
	“那段时间，一个党员要承担很大片区，但没人叫苦叫累。”银川商城党委书记兼总经理支绍鑫回忆。现在，平时街道有活动，银川商城也都积极动员党员参与。“要把做好商业经营与切实履行社会责任结合起来。”"
湖北十堰张湾区加强监督执纪，用负面清单破解办事堵点,2020-11-27,"本报武汉11月26日电  （记者程远州）湖北十堰张湾区纪委监委日前加强优化营商环境监督执纪问责，聚焦工作作风、政务服务等领域，列出30条“负面清单”，破解企业和群众办事的难点、堵点、痛点。
	据悉，张湾区今年先后开展了援企惠企政策落实、政务服务“一网通办”的专项监督检查，紧盯承担优化营商环境重点攻坚任务的各行业部门，对不作为、慢作为、乱作为等现象进行问责曝光。此外，针对领导调研、部门包联企业走访所收集整理的255条问题线索，督促协调解决办证、融资、用地、规划等各类问题179个，推动政府职能部门做好监管和服务，为打造一流营商环境提供了坚强纪律保障。"
