title,date,body
云南省委常委会召开扩大会议 阮成发主持,2020-12-09,"本报讯（记者 杨猛 左超） 12月8日下午，省委常委会召开扩大会议，学习习近平总书记近期重要讲话和重要指示精神，通报云南省党政代表团赴广东省、上海市对接扶贫协作工作和赴浙江省学习考察情况，研究部署联合国《生物多样性公约》第十五次缔约方大会云南省筹备工作等。
	　　省委书记阮成发主持会议。
	　　会议指出，习近平总书记近期先后出席全国劳动模范和先进工作者表彰大会、第十七届中国-东盟博览会和中国-东盟商务与投资峰会开幕式，主持召开中央政治局常委会会议、中央政治局会议和中央政治局第二十五次集体学习，并发表重要讲话、作出重要指示。我们要认真学习领会，结合我省实际，不折不扣抓好贯彻落实。要团结动员广大劳动者建功新征程，大力弘扬劳模精神、劳动精神、工匠精神，为推进云南高质量发展凝聚强大力量。要坚定不移扩大对外开放，加快我国面向南亚东南亚辐射中心建设，为构建更高水平、更加紧密的中国-东盟命运共同体作出贡献。要全面加强知识产权保护工作，加快建立符合我省实际的知识产权保护体系。要抓牢抓实脱贫攻坚成果巩固，积极争取和用好中央对乡村振兴重点帮扶县给予集中支持的有关政策，巩固深化粤滇、沪滇扶贫协作，推进巩固拓展脱贫攻坚成果与乡村振兴有效衔接。
	　　会议强调，要深入学习借鉴浙江经验做法，全面把握新发展阶段，坚定贯彻新发展理念，主动融入新发展格局，认真谋划好我省“十四五”发展，努力在建设我国民族团结进步示范区、生态文明建设排头兵、面向南亚东南亚辐射中心上不断取得新进展。一要学习浙江一以贯之推进“八八战略”的战略定力，始终沿着习近平总书记指引的方向坚毅前行，把学习考察成果转化运用到推动全省高质量发展上。二要学习浙江推动产业转型升级的创新举措，推动产业结构由中低端向中高端迈进。三要学习浙江践行习近平生态文明思想的经验做法，树牢“绿水青山就是金山银山”的理念，抓紧研究编制我省“十四五”生态文明建设有关专项规划，加快推进生态文明排头兵建设。四要学习浙江推进城乡一体化协调发展的经验做法，大力推动美丽乡村建设和特色小镇发展，带领群众创造美好生活、建设美丽家园。五要学习浙江全面深化改革开放的经验做法，推进改革任务落实，持续深化“放管服”改革，不断优化营商环境，大力发展民营经济，全力打造对外开放新高地。
	　　会议听取关于联合国《生物多样性公约》第十五次缔约方大会云南省筹备工作情况的汇报。会议指出，联合国《生物多样性公约》第十五次缔约方大会是我国举办的一次重要多边主场外交活动，是宣介习近平生态文明思想和我国生物多样性保护成就的重大契机，是展示负责任大国形象和深度参与全球环境治理的重要平台。要提高政治站位，切实增强做好筹备工作的责任感、使命感和紧迫感，密切配合大会秘书处，进一步完善云南省筹备工作，坚决完成好党中央交给云南的这一重大政治任务。要全力做好会议服务保障，突出绿色、安全、智慧理念，周密部署、精心准备、迅速行动，充分展示好昆明形象、云南形象、云南示范。要加快提升昆明城市品质和市容市貌，全面提升全省城乡人居环境，精心筹划生物多样性展览展示项目，向世人展示生态云南、美丽云南的良好形象和云南生物多样性保护成果。要加强领导，省筹备工作领导小组及其办公室、昆明市、省级相关部门要仔细梳理任务，各司其职，加大力度，密切配合，全力推进，扎实做好大会筹备各项工作。
	　　会议审议并原则同意《关于深化新时代教育督导体制机制改革的实施意见》，强调要完善教育督导体系，充分运用督导结果，不断提高教育督导质量和水平。
	　　会议还研究了其他事项。"
海南省委省政府看望慰问正省级老领导 沈晓明冯飞参加看望,2020-12-09,"本报海口12月8日讯（记者况昌勋）12月8日下午，省委书记沈晓明，省委副书记、代省长冯飞在海口看望了全国人大华侨委员会副主任委员罗保铭、全国政协港澳台侨委员会副主任于迅，退休正省级老同志阮崇武、汪啸风、卫留成、陈玉益、王广宪、钟文，代表省委省政府感谢他们为海南经济社会发展打下的坚实基础和作出的重要贡献，听取他们对海南全面深化改革开放的意见建议。
	沈晓明说，今年是海南自由贸易港建设开局之年，是“十三五”和脱贫攻坚收官之年，当前全省上下正深入贯彻落实党的十九届五中全会精神和习近平总书记关于海南的系列重要讲话及重要指示批示精神，认真做好“十三五”收官工作，科学编制“十四五”发展规划，在构建新发展格局中积极作为。海南经济社会发展的好经验好做法，凝结了历任班子的智慧和汗水，是历任班子留给我们的宝贵财富。希望老领导们一如既往关心支持省委省政府工作，对海南全面深化改革开放和建设中国特色自由贸易港多提宝贵意见，推动海南经济社会发展得更好。沈晓明也叮嘱有关部门要用心用情做好服务保障工作。
	老领导们感谢省委省政府的关心，对海南自由贸易港建设顺利开局感到由衷高兴，一致表示坚决拥护中央决定，全力支持省委省政府工作，齐心协力为中国特色自由贸易港建设贡献力量，并从海南自由贸易港法立法、人才引进培养、加强政策宣传等方面提出具体建议。
	省委常委、秘书长孙大海一同看望。"
王国生召开座谈会听取对河南省“十四五”时期发展意见建议,2020-12-09,"本报讯（记者 李铮 冯芸）12月8日，省委书记王国生与专家学者、企业负责人代表座谈，深入贯彻落实党的十九届五中全会精神，听取对我省“十四五”时期发展意见建议。
	　　“增强市场主体创新能力”“打造我省优势产业链”……中国中铁工程装备集团副总经理王杜娟、河南科技大学副校长魏世忠、卫华集团有限公司董事长韩红安、鹤壁国立光电科技股份有限公司董事长朱明甫围绕科技创新、人才引进、制造业高质量发展畅所欲言。王国生指出，“十四五”时期是全面建设现代化河南的关键时期，是转变发展方式、优化经济结构、转换增长动力的攻坚期和窗口期，要深入贯彻落实习近平总书记视察河南重要讲话精神，坚持制造业高质量发展主攻方向，推动产业链创新链深度融合，加快传统产业转型升级，全面提高经济质量效益和核心竞争力。他强调，创新的关键在人才，要牢固树立人才是第一资源的理念，谋划解决好人才怎么聚、怎么用、怎么留的问题，实施更加积极、更加开放的人才政策，充分激发各类人才的创新创造活力。
	　　河南财经政法大学原校长李小建、河南大学黄河文明与可持续发展研究中心主任苗长虹、省文物考古学会会长孙英民围绕黄河流域生态保护、区域协作、文化传承等建言献策。王国生指出，一年多来，大家对“表象在黄河、根子在流域”的认识更加深刻，对山水林田湖草沙治理的理解更加透彻，走好生态保护和高质量发展道路的决心更加坚定、行动更加自觉。他强调，丰厚历史文化资源是我省发展的优势与底蕴所在，要以黄河文化为引领，在挖掘时代价值上做文章，在活化利用上下功夫，推动文化旅游深度融合发展。河南农业大学教授郭天财就打造豫麦品牌谈了意见，王国生说，要持续深化农业供给侧结构性改革，延伸产业链、提升价值链、打造供应链，推动“大粮仓”迈向“大餐桌”。郑州大学公共卫生学院副院长吴建围绕健全公共卫生体系提出建议，王国生说，要把人民健康放在优先发展战略地位，固根基、补短板、强弱项，推动健康中原建设向更高水平迈进。
	　　在座谈时，王国生强调，构建新发展格局、中部地区崛起、黄河流域生态保护和高质量发展战略叠加，为河南发展提供了重大历史机遇，要抢抓机遇，深入贯彻落实党的十九届五中全会精神，站位国家重大战略部署和区域经济布局，准确把握新发展阶段的新特征新变化新要求，研究好根本性、战略性、前瞻性的重大问题，谋划好打基础、管长远、惠民生的重大项目。要吃透省情，深入研究我省在区域经济发展中的优势是什么、潜力在何处、短板有哪些，找准转型升级的支撑点、错位发展的增长点，真正把市场空间优势转化为内需体系优势，把区位交通优势转化为枢纽经济优势，把农业资源优势转化为乡村振兴优势。要开门问策，把规划编制过程作为集思广益、调查研究的过程，把社会期盼、群众智慧、专家意见、基层经验充分吸收到规划编制中来，确保规划符合中央精神、切合河南实际、顺应人民期待。
	　　穆为民参加座谈。"
安徽省委省政府与国家文物局举行工作座谈 李锦斌李国英刘玉珠出席,2020-12-09,"本报讯（通讯员 宗禾 记者 李浩）12月8日下午，安徽省委、省政府与国家文物局在合肥举行工作座谈，省委书记李锦斌，省委副书记、省长李国英，文化和旅游部党组成员、国家文物局局长刘玉珠出席座谈会。省领导郭强、王翠凤参加。
	　　李锦斌在座谈时指出，文物承载灿烂文明，传承历史文化，维系民族精神。党中央高度重视文物保护工作，习近平总书记多次作出重要指示批示，为我们做好文物工作、坚定文化自信提供了思想指引和行动指南。安徽文脉浩荡、底蕴深厚，文化遗产和历史遗迹众多。我们要认真贯彻党的十九届五中全会和习近平总书记考察安徽重要讲话指示精神，抓紧研究编制我省“十四五”文物保护规划，完善政策措施、谋实项目载体、强化人才支撑，加强文物保护利用，弘扬优秀传统文化，凝聚新阶段现代化美好安徽建设的奋进力量。希望国家文物局在非物质文化遗产保护、大别山革命文物保护、大运河国家文化公园建设等方面给予指导帮助。
	　　刘玉珠说，安徽是文物大省，品类齐全，特色鲜明，文物保护、利用和管理工作成效明显。国家文物局将本着对历史负责、对人民负责的态度，在考古事业、文物保护、历史研究等方面加大对皖支持力度，为安徽保护好、传承好历史文化遗产贡献力量。"
浙江省管领导干部学习贯彻十九届五中全会精神集中轮训班开班 袁家军作动员讲话和主题报告,2020-12-09,"本报杭州12月8日讯 （记者 刘乐平） 8日上午，省管领导干部学习贯彻党的十九届五中全会精神集中轮训班在省委党校开班。省委书记袁家军在作开班动员和主题报告时强调，要深入学习领会习近平总书记关于系统观念、系统方法的重要论述，运用系统观念、系统方法抓好党的十九届五中全会和省委十四届八次全会精神的贯彻落实，不断提高把方向、谋大局、定政策、促改革的能力和水平，为忠实践行“八八战略”、奋力打造“重要窗口”，争创社会主义现代化先行省赋能助力。
	　　陈金彪出席，黄建发主持开班仪式。
	　　袁家军指出，坚持系统观念、系统方法是以习近平同志为核心的党中央治国理政的重要思想和工作方法。党的十八大以来，习近平总书记着眼“两个大局”，统筹发展和安全“两件大事”，就坚持系统观念、系统方法提出了一系列重要论述，作出了一系列重要指示，深刻阐述了当下与未来、全局与局部、战略与战术、重点论与两点论等重大关系，提供了坚持系统观念、系统方法的原则和路径，把我们党对“三大规律”的认识和把握提到了新高度。习近平总书记在浙江工作期间，坚持运用系统观念、系统方法谋划和推进改革发展。“八八战略”蕴含着深刻的整体观、长远观、辩证观，是充分运用系统思想的生动实践，贯穿着系统论的基本规律和逻辑思维。坚定不移沿着“八八战略”指引的路子走下去，就必须按照“八八战略”的要求坚持和运用系统观念、系统方法，努力绽放出鲜艳的理论之花、结出丰硕的实践之果。
	　　袁家军指出，学习贯彻党的十九届五中全会精神是一个不断深化、久久为功的过程，忠实践行“八八战略”、奋力打造“重要窗口”，争创社会主义现代化先行省是一个复杂的系统工程，这就要求我们准确把握和深刻理解系统观念和系统方法。他结合浙江经济社会发展的实际，重点介绍了系统、系统观念和系统方法的科学内涵和逻辑关系，强调要用综合集成方法解决社会系统这一开放复杂巨系统问题，综合运用自然科学、社会科学、工程技术，利用整个现代科学技术体系成果，实现跨层级、跨领域、跨学科的综合集成，进而产生新知识、发现新规律、获得新认识，推动理性认识与感性认识结合、科学知识与经验知识结合、定性与定量结合、宏观与微观结合、不确定与确定性结合、人力与计算机结合、创新与规范结合，形成分析综合、放大细节、迭代深化、解决问题、整体优化、实现目标的完整闭环。
	　　袁家军通过编制好“十四五”规划、构建党建统领的整体智治体系、以数字化改革撬动各领域各方面改革、完善风险闭环管控的大平安机制等例证，具体阐述了如何把系统观念、系统方法充分运用到经济社会发展和党的建设各领域各方面各环节，从而提高全省党政机关和党员干部的学习力、变革力、开放力、凝聚力、应变力、持续发展力、抵御风险能力，不断增强工作的战略性、前瞻性、科学性、协同性、能动性。他强调要牢固树立“没有走在前列也是一种风险”的忧患意识，对标先进，找准确定各个领域“跳一跳、够得着”的目标；确立关键环节和重点领域的重大改革、重大项目、重大平台、重大政策，找准“牵一发动全身”的抓手来突破重点、带动整体；坚持层层放大，放大细节、放大特色、放大优势，持续擦亮具有辨识度的金名片；提升各级党委把方向、谋大局、定政策、促改革的能力和水平，找到总揽全局、协调各方的着力点，确保中央和省委的决策部署得到不折不扣、创造性落实；抓住关键少数，强化忠诚意识、维护意识，坚持生成性学习，提升抓统筹的能力，强化系统思维实践，努力打牢高质量之基、激活竞争力之源、走好现代化之路。
	　　按照省委统一部署，省管领导干部将分期在省委党校集中轮训，由省领导带头授课，推动中央全会和省委全会精神更好地贯彻落实。"
江苏省委召开正省级老领导座谈会 娄勤俭主持会议,2020-12-09,"本报讯 （记者 耿 联） 12月7日，省委召开座谈会，深入学习贯彻习近平总书记视察江苏重要讲话指示精神和党的十九届五中全会精神，征求正省级老领导对江苏“十四五”发展的意见建议。省委书记娄勤俭主持会议并讲话。
	　　娄勤俭向老领导们通报了习近平总书记视察江苏有关情况。他说，党的十九届五中全会闭幕不久，习近平总书记第一次到地方视察就来到江苏，并作出重要讲话指示，殷切希望江苏“在改革创新、推动高质量发展上争当表率，在服务全国构建新发展格局上争做示范，在率先实现社会主义现代化上走在前列”，为我省未来发展提供了极为重要的战略指引，饱含着党中央对江苏的深切信任和巨大关怀。围绕学习宣传贯彻总书记视察江苏重要讲话指示精神，省委作出了一系列部署安排，组织广大党员干部持续深入地研学体悟，努力做到“知其然、知其所以然、知其所以必然”，把总书记赋予的重大命题回答好。
	　　座谈会上，陈焕友、梁保华、罗志军、李学勇、许仲林、张连珍、蒋定之先后发言。大家一致认为，习近平总书记视察江苏，对江苏工作给予充分肯定、作出重要指示，赋予新的重大使命，让我们倍感振奋、倍感鼓舞。大家高度评价“强富美高”新江苏建设取得的显著成绩，高度评价江苏统筹疫情防控和经济社会发展取得的重大成果，围绕学习贯彻总书记视察江苏重要讲话指示精神和党的十九届五中全会精神，推动江苏“十四五”乃至更长时期的发展，结合工作实践和学习体会提出意见建议。
	　　娄勤俭在总结时说，今天我们围绕学习贯彻总书记视察江苏重要讲话指示精神、谋划我省“十四五”发展进行座谈，各位老领导作为江苏发展的实践者、改革开放的亲历者，提出了很好的意见建议，我们将认真研究、充分吸收。娄勤俭指出，江苏高水平全面建成小康社会取得决定性成就，是党中央坚强领导的结果，是历届省委省政府团结带领全省人民接续奋斗的结果。立足新征程新起点，我们要进一步深入学习贯彻总书记视察江苏重要讲话指示精神和十九届五中全会精神，广泛凝聚各方面智慧力量，科学谋划好我省“十四五”乃至更长时期的发展，以更加奋发有为的精神状态，切实扛起“争当表率、争做示范、走在前列”的重大使命，坚决把总书记的最新指示要求全面落实到江苏现代化建设中，推动“强富美高”新江苏不断开辟新境界。
	　　省领导樊金龙、郭元强及省有关方面负责同志出席座谈会。"
景俊海韩俊与奥迪中国总裁安世豪举行会谈,2020-12-09,"本报12月8日讯（记者黄鹭）今天，省委书记景俊海，省委副书记、代省长韩俊一起与奥迪中国总裁安世豪一行在长春举行会谈。
	景俊海指出，吉林省是中国汽车制造大省，中国一汽是中国汽车工业的摇篮。一汽与奥迪30多年的密切合作，取得了丰硕成果、结下了深厚友谊、成为了全球典范。进一步深化吉林与奥迪务实合作，推动一汽奥迪新能源汽车合作项目落户长春，是落实中德两国领导人重要共识的实际行动，是深入贯彻习近平主席重要讲话重要指示精神、加快吉林全面振兴全方位振兴的重要举措。希望奥迪顺应汽车产业电动化、智能化、网联化、共享化发展趋势，持续推进与一汽在新能源汽车等领域合作，加快项目落地，再续合作佳话，携手共铸辉煌。我们一定竭尽全力做好各项前期准备工作，为项目建设提供一流服务、创造一流环境，推动双方合作实现互惠共赢。
	安世豪表示，中国市场对奥迪发展至关重要，奥迪需要合作伙伴的有力支持。我们对双方精诚合作充满信心，期待取得更多务实成果。
	会谈结束后，安世豪一行在长春进行实地考察，并与有关方面进一步洽谈推进项目合作具体事宜。
	吴靖平、胡家福、王凯、张志军、王志厚参加会谈。"
石泰峰在作高校形势政策报告时寄语广大师生 深入学习贯彻党的十九届五中全会精神 在全面建设社会主义现代化国家新征程中贡献青春力量,2020-12-09,"本报12月8日讯 （记者 刘晓冬）12月8日，自治区党委书记、人大常委会主任石泰峰来到内蒙古大学，看望慰问广大师生，作高校形势政策报告并随堂旁听思想政治理论课，勉励大家要深入学习贯彻党的十九届五中全会精神，在全面建设社会主义现代化国家新征程中彰显青春风采、贡献青春力量。
	　　隆冬季节，室外呵气成霜，室内暖意融融。内蒙古大学学术会议中心9号会议室里，一张张年轻的面孔，洋溢着朝气蓬勃的气息。报告会上，石泰峰围绕深入学习贯彻党的十九届五中全会精神这一主题，从把握新发展阶段、落实新目标要求、贯彻新发展理念、构建新发展格局、履行新使命担当等方面进行了全面系统阐述，为同学们作了一场深刻而生动的形势政策报告。石泰峰说，党的十九届五中全会对我国“十四五”时期经济社会发展作出决策部署，对2035年基本实现社会主义现代化远景目标作出描绘展望，意义重大、影响深远。他指出，“十四五”时期，我国将进入新发展阶段，面对世界百年未有之大变局和中华民族伟大复兴战略全局，内蒙古只有坚定不移探索走好以生态优先、绿色发展为导向的高质量发展新路子，坚决筑牢我国北方重要生态安全屏障和祖国北疆安全稳定屏障，加快建设国家重要能源和战略资源基地、农畜产品生产基地，着力打造我国向北开放重要桥头堡，才能在更好服务和融入新发展格局中实现新的更大发展。
	　　石泰峰勉励大家说，新时代新征程新阶段赋予广大青年新的使命担当，建设社会主义现代化强国需要广大青年矢志奋斗。大家要坚定理想信念、树立远大志向，始终保持对马克思主义的信仰、对中国特色社会主义的信念、对中华民族伟大复兴中国梦的信心，坚持把爱党、爱国、爱社会主义作为立身之本，把个人发展融入到国家和人民的事业中，把个人抱负融入到中华民族伟大复兴的实践中，扎根人民、报效祖国。要珍惜青春时光、练就过硬本领，使自己的思维视野、思想观念、认识水平、实践能力跟上时代发展步伐。要主动接受锻炼、不断攻坚克难，敢于经风雨见世面，大力发扬蒙古马精神，在拼搏奋斗中实现人生梦想。要修身立德正己、弘扬良好风气，答好人生“道德考卷”，系好人生“第一粒扣子”，不仅要在学业上有所成就，更要在品德上不断提升。希望青年学子们不负韶华，积极投身伟大时代，在全面建设社会主义现代化国家新征程中大显身手、建功立业。
	　　报告会上，石泰峰还与青年学生进行了互动交流，对学生代表提出的大学生就业、高校科技创新等问题一一作了解答，报告会现场气氛活跃、掌声阵阵。报告会前，石泰峰走进内蒙古大学经济管理学院，旁听了杨涛教师讲授的题为《新时代我国社会主要矛盾的变化》的思想政治理论课。课后石泰峰指出，紧扣人民需求来把握社会主要矛盾，不断为满足人民需求而奋斗，这是我们党不忘初心、牢记使命的重要体现。思想政治理论课是落实立德树人根本任务的关键课程，希望同学们认真学好这门课程，不仅成为一个有知识、有本领的人，更要成为一个有思想、有理想、有道德、有情怀的人，努力为建设亮丽内蒙古、共圆伟大中国梦贡献更大力量。
	　　自治区党委常委、秘书长、自治区常务副主席张韶春及有关部门负责同志参加活动。自治区驻呼高校师生代表260多人聆听报告。"
楼阳生与华为公司创始人任正非举行工作会谈,2020-12-09,"（记者杨文俊）12月7日，省委书记楼阳生与华为技术有限公司创始人、董事、CEO任正非举行工作会谈，就深化省企战略合作进行深入交流。省委副书记、省长林武，省领导罗清宇、李凤岐、王一新出席。
	　　楼阳生对任正非一行莅晋洽谈合作表示欢迎，感谢华为公司对山西转型发展的大力支持，高度赞誉华为的创新精神和企业文化。他说，山西作为传统能源大省，面临转型发展的历史任务。我们深入贯彻党的十九届五中全会精神，忠实践行习近平总书记视察山西重要讲话重要指示，把创新放在转型发展的核心地位，坚持科技自立自强与开放合作，全力打造一流创新生态，在直道冲刺的同时，力求弯道超车、换道领跑，努力在转型发展上率先��出一条新路来。5G技术深刻改变着社会生产生活方式，5G应用前景广阔。华为公司站在5G领域的世界前沿，是民族企业的骄傲。山西高度重视与华为的合作。希望加强交流对接，充分发挥双方优势，在智慧矿山领域开展联合攻关，实现建设智能矿山新飞跃，在智慧山西、数字山西建设等方面进行更广泛、更深层次长期战略合作，实现共赢发展。
	　　任正非感谢山西省委、省政府一直以来对华为发展的支持和帮助，高度赞扬了山西产业转型升级的战略引领及实践成果，并简要介绍了华为近期发展情况。任正非表示，山西在智能矿山上的实践是创新性的，华为愿与山西一道，建立“煤矿人工智能创新实验室”，为山西企业的数字化转型、信息化发展作出贡献。同时将发挥联接、计算、云、AI、行业应用等5“机”协同的优势，围绕打造共生共创共享的数字生态、城市智能体、信息技术应用创新产业发展、大数据中心建设等领域与山西省展开深入合作，为山西省落地“十四五”规划、全面布局新基建提供有力支撑。"
甘肃省劳动模范和先进工作者表彰大会在兰举行 林铎出席并讲话,2020-12-08,"12月7日，甘肃省劳动模范和先进工作者表彰大会在兰州隆重举行。省委书记、省人大常委会主任林铎出席大会并讲话，省委副书记、代省长任振鹤主持大会。 新甘肃・甘肃日报记者 李小龙
	本报兰州12月7日讯（新甘肃・甘肃日报记者张富贵 金鑫）甘肃省劳动模范和先进工作者表彰大会今天在兰州举行，隆重表彰2015年以来我省各行各业涌现出的劳动模范和先进工作者。省委书记、省人大常委会主任林铎出席大会并讲话。他强调，要深入学习贯彻党的十九届五中全会精神，认真贯彻习近平总书记在全国劳动模范和先进工作者表彰大会上的重要讲话精神，全面落实习近平总书记对甘肃重要讲话和指示精神，激励全省干部群众学习先进典型、提振奋斗意志，努力谱写加快建设幸福美好新甘肃、不断开创富民兴陇新局面的时代篇章。
	省委副书记、代省长任振鹤主持大会，省委副书记孙伟宣读表彰决定。省领导李荣灿、马廷礼、胡焯、宋亮、李元平、石谋军、蒲永能、王玺玉、吴明明、陈青及省政府秘书长李志勋出席。
	在欢快的乐曲声中，省劳动模范和先进工作者代表依次登上主席台，林铎、任振鹤等领导为他们颁发荣誉证书。
	金川集团股份有限公司镍冶炼厂镍电解一车间电解班技术班长柴国梁代表省劳动模范和先进工作者宣读倡议书。
	林铎代表省委、省政府向受到表彰的甘肃省劳动模范和先进工作者表示热烈祝贺，向辛勤工作在全省各条战线的工人、农民、知识分子和广大劳动者致以崇高敬意。他指出，11月24日习近平总书记在全国劳动模范和先进工作者表彰大会上发表重要讲话，对紧紧依靠工人阶级和广大劳动群众开启新征程、扬帆再出发提出明确要求，发出了为全面建设社会主义现代化国家、实现第二个百年奋斗目标而继续奋斗的重要动员令。全省各级各方面要认真学习习近平总书记重要讲话精神，切实用以武装头脑、指导实践、推动工作，始终沿着习近平总书记指引的方向前进。
	林铎指出，近年来，全省工人阶级和广大劳动群众坚持以习近平新时代中国特色社会主义思想为指导，立足本职、拼搏奉献，在各条战线挥洒汗水，谱写了感人至深的劳动者之歌，充分彰显了陇原人民勤劳勇敢、自强不息、艰苦奋斗的优秀品质。
	林铎强调，当今世界正经历百年未有之大变局，实现中华民族伟大复兴正处于关键时期。全省工人阶级和广大劳动群众要团结一心向前看，撸起袖子加油干，一鼓作气打赢脱贫攻坚战、实现全面建成小康社会目标，齐心协力推进甘肃社会主义现代化建设。要筑牢崇高信仰，坚定不移听党话、矢志不渝跟党走，在服务党和国家大局中实现个人价值。要胸怀执着追求，自觉用劳模精神、劳动精神、工匠精神鞭策自己，敢闯敢干、勇攀高峰、争创一流，为甘肃实现更高水平发展贡献力量。
	任振鹤强调，要大力弘扬劳模精神、劳动精神、工匠精神，发挥好劳模的榜样、示范、引领作用。全省各级各方面要更好焕发热情、释放潜能，把稳就业摆在更加突出的位置，让劳动者共建共享改革发展成果，用发展成效唱响劳动最光荣。要更好尊重人才、塑造人才，高度重视提高职工群众素质，让劳动者练就一身真本领，掌握一手好技术，用“工匠精神”诠释劳动最崇高。要更好看重劳动、保护劳动，努力创造贴心、暖心、舒心的劳动环境，维护好职工群众合法权益，让劳动者体面劳动、全面发展，用公平正义彰显劳动最伟大。要更好组织群众、服务群众，多做统一思想、凝聚人心、增进感情、激发动力的工作，使全省职工群众坚定不移听党话、跟党走，用富民兴陇定格劳动最美丽。
	会前，林铎、任振鹤等与会领导会见了甘肃省劳动模范和先进工作者，并同大家合影留念。"
