title,date,body
“‘十四五’时期的中国与世界”圆桌论坛举行,2020-12-09,"本报北京12月8日电  （记者敬宜）由全球化智库（CCG）主办的“‘十四五’时期的中国与世界”圆桌论坛8日在京举行。
	论坛上，清华大学国家金融研究院院长朱民应邀向60余个国家的驻华使节介绍了中共十九届五中全会精神。使节们围绕“十四五”规划纲要提出的未来五年中国发展蓝图、中国实现高质量发展将对世界带来的影响等话题进行了热烈讨论。
	使节们表示，通过聆听介绍和交流，对中国未来五年的发展大计有了更清晰的认识。中国坚定不移扩大对外开放、促进“双循环”的承诺令世界振奋，这是一条富有雄心的路线。中方加大在数字经济、绿色经济、医疗卫生和新型基础设施建设等方面的投入，将为世界各国同中国的合作开拓更大空间。"
第八届中韩公共外交论坛举行,2020-12-09,"本报北京12月8日电  （记者陈尚文）第八届中韩公共外交论坛8日以视频形式举行。两国政府、智库、媒体、企业、非政府组织和公众代表等参加，重点围绕“推动后疫情时代中韩全面合作与交流”展开探讨。
	　　与会嘉宾认为，在新冠肺炎疫情背景下，中韩双方应进一步推动经济发展与产业合作，深化公共外交领域合作，加强媒体间交流和青年往来，增进两国人民相互理解，实现民心相通。
	　　论坛由中国外交部和韩国外交部主办，中国公共外交协会和韩国国际交流财团承办。"
第十七届全国马克思主义论坛在北京召开,2020-12-08,"人民网北京12月8日电 (记者 万鹏） 12月6日，第十七届全国马克思主义论坛暨中国马克思恩格斯研究会年会在北京召开。论坛主题为“马克思主义与‘两个一百年’奋斗目标”。本届论坛由中国马克思恩格斯研究会、中共中央党史和文献研究院第四研究部、上海市委党校联合主办，北京大学马克思主义学院、上海市委党校马克思主义学院、《马克思主义与现实》杂志编辑部共同承办。
	中国马克思恩格斯研究会会长、中共中央党史和文献研究院原副院长、中共中央编译局原局长贾高建，中共中央党史和文献研究院第四研究部主任、中国马克思恩格斯研究会副会长兼秘书长冯雷，中共上海市委党校常务副校长徐建刚出席开幕式并致辞。中国马克思恩格斯研究会副会长王东、郝立新、徐俊忠、杨耕，中国马克思恩格斯研究会原副会长顾海良、韩庆祥等出席会议。
	贾高建在致辞中指出，作为人类思想史上最重要的科学认识成果，马克思主义自诞生以来已经历了170多年的发展至今仍显示出强大的生命力。这一科学思想体系博大精深，需要我们从各个层次深入开展研究；它不是纯粹的书斋学问，而是直接面向实践的科学理论，需要我们在理论与实践的结合上多下功夫；它也不是那种僵死的教条和封闭的体系，而是在实践的基础上不断生长着的活的理论，需要我们继续做出新的探索。站在“两个一百年”奋斗目标的历史交汇点上，我们应充分意识到自己的责任。要以马克思主义的科学理论为指导，深入研究和总结已有的实践成果，思考和探索新阶段的新情况和新问题，同时也应立足于这一重大实践，对马克思主义理论做出新的研究和反思。要认真学习贯彻党的十九届五中全会精神，从应有的理论高度深入研究和探讨“十四五”规划与2035年远景目标所涉及的重大现实问题。
	冯雷在致辞中介绍了本届全国马克思主义论坛的组织和筹备情况，并对上海市委党校和北京大学马克思主义学院为论坛顺利举办所做的大量工作表示感谢。他指出，中共中央党史和文献研究院第四研究部作为中国马克思恩格斯研究会归口管理部门，今后将继续努力办好全国马克思主义论坛，搭建好为全国马克思主义学界服务的平台，加强与各位专家学者的交流互鉴，更好地发挥理论阵地作用。
	徐建刚在致辞中表示，上海市委党校开展马克思主义教学、科研、宣传工作有着深厚的历史底蕴和优良传统。近年来，特别是党的十八大以来上海市委党校马克思主义学科发展取得长足发展。他指出，将立足党校，扎实研究马克思主义，积极回应现实，贯彻落实党的十九届五中全会精神，使我们党的创新理论往深里走、往心里走、往实里走。
	与会专家学者围绕“党的十九届五中全会精神与‘两个一百年’奋斗目标”“纪念恩格斯诞辰200周年、列宁诞辰150周年”“马克思主义研究”等议题进行了深入研讨。"
首届税务干部领导力提升学术研讨会举行,2020-12-07,"经济日报-中国经济网扬州12月4日讯（记者 何欣）11月28日，“提升税收治理能力 推进税收治理现代化――首届税务干部领导力提升学术研讨会”在中共国家税务总局党校举行。全国政协文化文史与学习委员会副主任、原中央党校副校长孙庆聚出席会议并讲话，全国政协委员、人民日报社原副总编辑张首映作主题报告。中国领导科学研究会会长、原中央党校副秘书长冯秋婷主持开幕式，中共国家税务总局党校主持日常工作副校长、国家税务总局税务干部学院党委书记、院长曾光辉发表致辞。
	孙庆聚在讲话中指出，近百年来中国共产党成为引领中华民族伟大复兴的中流砥柱，关键在于初心如磐、不懈奋斗，在革命、建设和改革实践中不但取得了稳固的领导权，而且锻造了强大的领导力。税收在国家治理中具有基础性、支柱性、保障性作用。新形势下，税务干部的领导工作更多地呈现出服务性、复杂性、综合性、灵活性等鲜明特点。税务干部提高领导能力，应该特别重视提升政治能力、服务能力、矛盾化解能力和创新能力。税务干部提升领导力，归根到底是要提升为国聚财、为民收税的能力。
	全国政协委员、人民日报社原副总编辑张首映以《增加战略思维提高规划能力》为题，作了主题报告。他指出，近年来，我国经济社会发生了历史性的变化，取得了历史性的成就。“十四五”规划就是凝聚全党全国人民的意志、加快实现现代化步伐的战略大手笔。各级领导干部也包括税务干部应在推进“十四五”规划中提高对中央战略决策的理解力，吃透中央的战略意图、战略规划、战略要求，从而在推动工作中提升领导力。他强调，实现“十四五”规划和2035年远景目标，必须坚持党的全面领导，坚持以人民为中心的发展思想，动员各方面力量共同奋斗，形成推动发展的强大合力。
	中共江苏省委党校常务副校长、校务委员兼省行政学院常务副院长、教授桑学成，中共中央党校（国家行政学院）教授、博士生导师戴焰军，国家税务总局深圳市税务局党委书记、局长张国钧，国家哲学社会科学基金学科规划评审组专家、武汉大学二级教授、博士生导师丁俊萍，国家税务总局西藏自治区税务局党委副书记、局长郭顺民，中共中央党校（国家行政学院）经济学部教授、博士生导师丁文锋，国家税务总局浙江省税务局党委副书记、局长劳晓峰，清华大学公共管理学院教授、中国公共领导力中心副主任于永达，中共国家税务总局党校教授周敏等分别作主旨演讲。
	28日下午，围绕“加强党的领导，推进税收治理现代化”“加强党建引领，推进党建与业务深度融合”“新时代税务干部能力提升的瓶颈与突破”“严管与厚爱结合、激励与约束统一，激发税务干部担当尽责”等主题举办了分论坛。中共中央党校（国家行政学院）经济学部教授、博士生导师李旭章，中国领导科学研究会副秘书长、《中国领导科学》杂志社副社长、中共中央党校（国家行政学院）党建部教授张国玉，中国领导科学研究会副秘书长、中国领导网执行总编辑程冠军，中央财经大学信息学院教授冯海旗，首都经济贸易大学人力资源系主任、教授徐斌，中共江苏省委党校公共管理教研部主任、江苏省领导学研究会秘书长胡宗仁等分别在分论坛作了主题发言。多位税务系统的领导同志和中共国家税务总局党校的专家学者参与了讨论发言。
	与会代表一致认为，参加会议的专家学者和各级税务局干部，运用马克思主义立场、观点和方法，对新时代税收工作的领导规律进行了深入的挖掘和分析，并就解决税收治理现代化进程中出现的新情况、新问题及其应对之策进行了集中的讨论。这些分析和讨论，对于全面加强党对税收工作的全面领导，促进广大税务干部提升领导税收工作的能力，进而高质量推进新时代的税收治理现代化，必将提供有益的理论支撑和智力支持。"
中国政治学会成立四十周年研讨会召开,2020-12-07,"本报北京12月6日电  （记者曹平）中国政治学会主办的“庆祝中国政治学会成立四十周年暨新时代中国政治学发展学术研讨会”5日在京召开。
	与会者认为，中国政治学会成立40年来，团结凝聚广大政治学者，为推动中国政治学繁荣发展作出了积极贡献。面对中华民族伟大复兴战略全局和世界百年未有之大变局，政治学者要树立强烈的责任感、使命感，深入学习贯彻习近平新时代中国特色社会主义思想，认真学习领会党的十九届五中全会精神，深入研究坚持和发展中国特色社会主义进程中的重大理论和实践问题，推出更多植根中国大地的原创性学术成果，积极推进中国特色政治学学科体系、学术体系、话语体系建设，为推进国家治理体系和治理能力现代化提供坚实理论支撑和智力支持，为全面建设社会主义现代化国家作出应有贡献。"
感受伟大思想的时代意义,2020-12-07,"为纪念恩格斯诞辰200周年，恩格斯故乡、德国北威州伍珀塔尔市将今年定为“恩格斯年”，设立名为“恩格斯2020”的主题网站，策划了贯穿全年的一系列纪念活动。
	修葺一新的恩格斯故居原定于11月28日重新对公众开放并举行相关活动。受疫情影响，这一活动转为线上举行。通过“恩格斯2020”主题网站，来自世界各地的人们可以远程参观恩格斯故居。
	北威州州长拉舍特在纪念恩格斯诞辰200周年活动的致辞中说，恩格斯是一位具有划时代意义的人物，深入研究他的思想学说十分重要。伍珀塔尔市市长施奈德温德表示，通过“恩格斯年”系列活动，人们可以感受到，恩格斯的思想仍具有时代意义。
	“恩格斯2020”主题网站还展示了200位伍珀塔尔市民的照片，点击任意一张照片，可以看到市民们发表的评论和他们眼中的恩格斯形象。“您超越了身世背景，向世界提出了正确的问题。作为后来人，我们至今仍在努力追寻着问题的答案。”市民弗洛里安如是表示。“恩格斯的思想和精神永恒。”市民尤莉安说。
	伍珀塔尔市同时举办了纪念恩格斯诞辰200周年特别展览。恩格斯与至交马克思在不同时期往来的书信、恩格斯与马克思一家的合影照、马克思手书的《共产党宣言》手稿第一页等展品备受关注。其中，马克思手书的《共产党宣言》手稿第一页是《共产党宣言》现存于世的唯一一页手稿。
	当地今年还专门开通了热线电话服务。拨通热线，即可收听关于这位伟大思想家、哲学家的介绍。当地知名演员、演讲家和制片人奥拉夫・雷茨则将恩格斯的作品搬上了伍珀塔尔歌剧院舞台，朗读《共产党宣言》节选内容，通过线上形式播出。德法公共电视台、西德意志广播电台等媒体播出相关专题纪录片。
	（本报柏林12月6日电）"
“核心价值观百场讲坛”举办第104场 解读抗疫精神与公民道德建设,2020-12-04,"由中宣部宣教局、光明日报社共同主办的“核心价值观百场讲坛”第104场3日举办“云宣讲”。武汉大学教授沈壮海作题为《弘扬伟大抗疫精神，深化公民道德建设》的演讲。
	沈壮海表示，伟大抗疫精神是中华民族精神谱系中的又一个闪光点。他着重剖析了伟大抗疫精神的主要特征、本质内涵及价值导向，并将其与提高个人修养、激发个体潜能有机结合，为深化公民道德建设提供了新思路。
	沈壮海认为，伟大抗疫精神传承着中华民族的特质禀赋和文化基因，展现了新时代党和人民的风骨和气概，蕴含着中华民族精神的新成长，是中华民族攻坚克难、走向复兴的强大动力。
	本场活动由光明网承办，“学习强国”学习平台、人民日报客户端、央视新闻客户端、新浪微博、西瓜视频、哔哩哔哩等对演讲内容进行了同步刊播。"
“核心价值观百场讲坛”举办第104场,2020-12-04,"据新华社北京12月3日电  由中宣部宣教局、光明日报社共同主办的“核心价值观百场讲坛”第104场3日举办“云宣讲”。武汉大学教授沈壮海作题为《弘扬伟大抗疫精神，深化公民道德建设》的演讲。
	沈壮海表示，伟大抗疫精神是中华民族精神谱系中的又一个闪光点。他着重剖析了伟大抗疫精神的主要特征、本质内涵及价值导向，并将其与提高个人修养、激发个体潜能有机结合，为深化公民道德建设提供了新思路。
	沈壮海认为，伟大抗疫精神传承着中华民族的特质禀赋和文化基因，展现了新时代党和人民的风骨和气概，蕴含着中华民族精神的新成长，是中华民族攻坚克难、走向复兴的强大动力。
	本场活动由光明网承办，“学习强国”学习平台、人民日报客户端、央视新闻客户端、新浪微博、西瓜视频、哔哩哔哩等对演讲内容进行了同步刊播。"
国家治理高峰论坛“新发展格局与北京冬奥”峰会举行,2020-12-04,"本报北京12月3日电  （王妍卓）12月3日，由北京冬奥组委、人民日报社指导，人民论坛杂志社、《国家治理》周刊、北京北奥集团、北京银行共同举办的第七届国家治理高峰论坛“新发展格局与北京冬奥”峰会在京举行。第十二届全国政协副主席马培华，人民日报社副总编辑方江山，中共北京市委常委、宣传部长杜飞进，北京冬奥组委专职副主席、秘书长韩子荣等出席会议。
	会议围绕“构建新发展格局”“贯彻新发展理念”“面向新发展阶段”“激活新发展动能”等方面设置冬奥会相关议题、展开深入研讨。
	与会专家认为，北京冬奥会是统筹“两个大局”这一重要历史节点上举办的重大标志性活动，与实现“两个一百年奋斗目标”高度契合，是我们加快构建新发展格局，展现国家形象、促进国家发展、振奋民族精神，促进中华文化同世界各国文明交流互鉴的重要契机；相信中国推动构建人类命运共同体的生动实践，将在国际舞台上释放积极信号，为全球经济复苏注入强大信心与力量。"
“弘扬建党精神 传承红色基因”全国学术研讨会召开,2020-12-01,"为贯彻落实习近平总书记关于弘扬革命精神重要论述、深入阐释建党实践所体现的革命精神内涵、系统挖掘建党精神的理论意蕴、科学探析新时代弘扬建党精神和传承红色基因的有效路径，11月28日，“弘扬建党精神 传承红色基因”全国学术研讨会在三明学院举办。
	开幕式由三明学院党委副书记赖锦隆研究员主持。三明学院校长潘玉腾教授在开幕式介绍，三明学院始终铭记弘扬革命精神、传承红色基因的初心使命，不断深入挖掘和助力保护本土丰富的红色文化资源。三明学院联合福建师范大学，力求在整合优化区域红色文化资源、与时俱进传承红色基因等方面深入开展多层次、多方面、多渠道的交流与合作，为全面深耕中央苏区老区红色文化软实力，着力提升区域红色文化发展影响力和辐射力贡献力量。
	会议分为主旨报告与主题发言环节。其中主旨报告由中国人民大学复印报刊资料中心副主任、主编李明霞与《中共党史研究》编审乔君主持。中共福建省委教育工委副书记王建南教授作了题为《深入挖掘福建红色文化资源对学校立德树人的独特价值》的主旨报告。他指出，挖掘红色资源，讲好福建红色故事具有重要作用。一是可以充分发挥以史育人作用，筑牢学生的信仰之基；二是可以充分发挥课程育人作用，把握学生的思想之舵；三是可以充分发挥文化育人作用，铸就学生的红色之魂；四是可以充分发挥实践育人作用，补足学生的精神之钙。
	福建省委党校副校长刘大可认为，我们要学习和借鉴习近平总书记在福建工作期间制定系列规划过程中的敏锐性与谋划性、全局性与方向性、战略性与前瞻性、科学性与可操作性以及“功成不必在我”的情怀，为实现中华民族伟兴的中国梦作出贡献。
	陕西师范大学陈答才教授、武汉理工大学郭国祥教授、浙江理工大学渠长根教授聚焦革命精神的理论内涵与实践意义，山东大学��正明教授、华中师范大学郭明飞教授、江南大学徐玉生教授聚焦深化中国革命文化研究与净化党内政治生态分别作了主旨报告。福建师范大学马克思主义学院常务副院长傅慧芳教授与三明学院马克思主义学院院长邹晓芟教授分别作了总结发言。
	本次会议由福建师范大学马克思主义学院、三明学院马克思主义学院、《理论与评论》编辑部联合主办，三明学院马克思主义学院、《三明学院学报》编辑部承办。来自《中国人民大学复印报刊》《中共党史研究》《福建师范大学学报》、《学校党建与思想教育》《武汉理工大学学报（社会科学版）》《井冈山大学学报》《时事报告》的相关负责人和代表，以及山东大学、上海财经大学、华中师范大学等30多所高校以及科研院所的专家学者120余人参加了研讨会。（记者李贝、刘梦甜）"
