title,date,body
先学一步 深学一层,2020-12-08,"党委（党组）理论学习中心组学习，是各级党委（党组）领导班子和领导干部在职理论学习的重要组织形式，是加强党的政治建设、思想建设的重要制度安排，也是提高党的执政能力和领导水平的重要途径。
	一段时间以来，在全国上下深入学习贯彻党的十九届五中全会精神热潮中，中央和国家机关有关部门党组（党委）理论学习中心组围绕主题、精心谋划，创新形式、周密安排，开展了卓有成效的学习活动，进一步推动全会精神在广大党员干部心中落地生根，以实际行动走好践行“两个维护”的第一方阵，凝聚起开启全面建设社会主义现代化国家新征程的强大力量。
	
	12月2日上午，自然资源部党组理论学习中心组成员齐聚一堂，以视频会议形式与400多名机关司局、直属单位党员干部一起，专题学习研讨党的十九届五中全会精神。
	围绕全会建议中有关优化国土空间布局、守住自然生态安全边界等重要内容，大家热烈交流学习体会，认真研讨落实举措。会议还进行了现场抽查发言，检验学习成果。
	与往常的部门党组（党委）理论学习中心组学习不同的是，本次学习有来自中央宣传部、中央组织部、中央和国家机关工委的同志列席旁听。
	据了解，为不断推动党组（党委）理论学习中心组提高学习质量和水平，中央宣传部、中央组织部、中央和国家机关工委探索建立列席旁听工作机制，联合派员列席旁听有关省部级党组（党委）理论学习中心组学习，进行现场指导、督促和检查。
	中央和国家机关有关部门把深入学习贯彻党的十九届五中全会精神作为当前和今后一个时期的重要政治任务，充分发挥党组（党委）理论学习中心组示范带动作用，认真组织开展各具特色的学习活动。
	有的进行专题研讨――11月30日，中央财办理论学习中心组围绕构建新发展格局开展专题学习，由参与文件起草的中心组成员重点发言，其他中心组成员交流认识和思考，主要负责同志作点评。
	有的多次组织学习研讨――中央党校（国家行政学院）校（院）委理论学习中心组先后于11月3日、17日、25日召开3次扩大会议，持续学习贯彻全会精神。
	有的扩大学习范围――11月15日至17日，生态环境部党组理论学习中心组采取“集中”加“扩大”、个人自学和集中研讨交流相结合的方式，与机关司局、京内外单位、专家学者、党校学员、青年代表集体学习，加深对全会精神核心要义的理解和把握。
	有的开展跨部门联学――11月23日，交通运输部党组理论学习中心组与招商局集团党委理论学习中心组坐在一起，围绕深入学习贯彻全会精神、加快建设交通强国，开展集体联学、研讨交流。
	党员干部普遍表示，各部门党组（党委）理论学习中心组创新学习方式、紧密联系实际，在真学、真懂、真信、真用上作示范，引领中央和国家机关学习贯彻全会精神不断走向深入。
	
	11月22日至23日，位于北京北郊的农业农村部党校，迎来一群特殊的“学员”。
	利用周末时间，农业农村部将部党组理论学习中心组成员和部属各单位党政主要负责同志集中起来，在两天时间里扎扎实实开展集中学习，交流讨论学习体会和工作思考。
	踏实坐下来、把心静下来，大家在交流碰撞中进一步统一了思想、深化了认识、明确了方向。
	像农业农村部一样，中央和国家机关有关部门党组（党委）理论学习中心组通过扎实深入的学习，进一步吃透全会精神。
	中央政策研究室在学习中体会到，党的十九届五中全会提出“提高党的建设质量”，为深入推进全面从严治党、加强和改进党的建设明确了目标任务和建设方向。高质量党建是高质量发展的引领和保障，要围绕推动高质量发展把准提高党的建设质量的着力点，建立健全确保党的建设质量的长效机制。
	科技部党组在学习后表示，全会提出坚持创新在我国现代化建设全局中的核心地位，把科技自立自强作为国家发展的战略支撑，把科技创新摆在各项规划任务首位，进行专章部署，这在党中央编制五年规划的历史上是第一次，是以习近平同志为核心的党中央把握发展大势、立足当前、着眼长远作出的战略抉择。
	人力资源和社会保障部党组在学习后感到，构建新发展格局是适应我国发展新阶段要求、塑造国际合作和竞争新优势的必然选择。要从全局和战略的高度准确把握构建新发展格局的战略构想，切实抓准做好人社工作的结合点，解放思想、更新观念、自觉行动，积极探索构建新发展格局的有效途径。
	商务部党组在学习中认为，习近平总书记在全会上的重要讲话高瞻远瞩、鼓舞人心、催人奋进，科学回答了一系列方向性、根本性、战略性重大问题，为推动高质量发展、构建新发展格局、夺取全面建设社会主义现代化国家新胜利提供了基本遵循。要组织好、学习好、理解好、落实好全会精神，创新学习方法，提高学习质量，确保学习成效，切实把思想和行动统一到党中央决策部署上来。
	
	擘画新蓝图，开启新征程。在学习领会党的十九届五中全会精神过程中，中央和国家机关有关部门党组（党委）理论学习中心组结合各自工作实际，在学习中思考、在思考中谋划，进一步明确了本部门贯彻落实全会精神的思路和举措。
	国家发展改革委党组表示，要认真贯彻落实习近平新时代中国特色社会主义思想和党的十九届五中全会精神，加强对国内国际形势的分析，研究提出重大战略任务、重大工程项目、重大改革举措，确保高质量高水平聚众智编好“十四五”规划纲要。同时，认真完成“十三五”规划实施总结评估工作。
	工业和信息化部党组提出，全系统要深入思考在全面建设社会主义现代化国家新征程中的职责使命，深刻把握工业和信息化的历史定位，努力成为强化自主创新的主力军、构建新发展格局的主力军、推动高质量发展的主力军。
	住房和城乡建设部党组认为，住房和城乡建设是贯彻落实新发展理念、推动高质量发展的重要载体，也是构建新发展格局的重要支点。要坚决把思想和行动统一到党的十九届五中全会精神上来，推进实施城市更新行动、完善住房制度、提升乡村建设水平，推动住房和城乡建设事业高质量发展。
	文化和旅游部党组表示，要落实好“十四五”时期重点任务，着力增加优质文化和旅游产品供给，着力提高文化和旅游服务效能，着力优化文化和旅游发展环境，着力推进文化和旅游融合发展，持续推动中华优秀传统文化创造性转化、创新性发展，继承革命文化，发展社会主义先进文化，不断增强国家文化软实力、增强人民精神力量，加快推进社会主义文化强国建设。
	（新华社北京12月7日电  新华社记者  林晖、范思翔）"
拓展“情景再现+”活动 福建森林消防总队持续寻初心担使命,2020-10-29,"为持续推动“不忘初心、牢记使命”主题教育常态化落实，福建省森林消防总队采取“情景再现+”的方式，组织广大党员寻初心之旅，思前行之路，切实在一言一行中坚守初心、一以贯之中践行使命，做到把初心使命镌刻进党员的生命年轮，把广大党员的先锋形象充分彰显出来，确保了主题教育高标准推进、高水平走实。
	
	该总队坚持以“踏寻先辈足迹，传承红色基因”为第一课，发挥福建革命老区苏区红色资源优势，与19个全国爱国主义教育示范基地建立联系点，到古田会议旧址、新泉红军整训地、才溪乡调查纪念馆等31个革命传统教育基地接受革命信仰现地体验式教育，开展“缅怀一次革命先烈、组织一次升旗仪式、聆听一次现场党课、弘扬一次家风家训”等“四个一”活动，引导广大党员以革命先辈为镜，重塑灵魂，锤炼信念，不断强化思想同心，进一步凝聚了“不忘初心”的精神洗礼与情感共鸣。
	
	该总队坚持以“重温入党誓词，牢记初心使命”为第二课，50个机关、基层党支部围绕“庆祝建党99周年，与党同过政治生日”，组织712名党员积极开展“重读入党志愿、重忆入党经历、重问入党动机、找差距践诺言”等“三重一找”活动。该总队龙岩支队龙岩大队举办“回忆入党之初，回忆入伍之初”故事会；直属特勤大队组织“重温我之初，整装再出发”思想辨析会，一条一条对照承诺，一条一条查找差距，持续点燃激情，时刻提醒自己，引导广大党员常听当初的誓言是否常回响、常想入党的前后是否一个样、常问组织的培养是否记心上，做到信仰再提纯、信念再坚固、使命再强化，进一步锤炼了“牢记使命”的责任担当与使命情怀。
	
	总队坚持以“牢记训词精神、践行初心使命”为第三课，把“四句话方针”作为建队根本遵循。组织重温习近平总书记为国家综合性消防救援队伍授旗并致训词精彩视频，学习应急管理部史和森林消防队伍史，开展“火焰蓝风采”群众性文化活动和“榜样的力量”主题典型宣传活动，评选表彰6名“咱身边的好样子”，全面展示转制以来总队学贯训词的新形象、新风貌和新成就。坚持以现场为课堂、以战场为考场，6名在鄂指战员积极参与打赢湖北保卫战武汉保卫战，大力叫响“跟我来”“看我的”，始终冲锋在前，进一步激发了“矢志践行”的内生动力与奋斗激情。（林彬）"
,2020-07-24,
《习近平谈治国理政》第三卷重要名词速览速学！,2020-07-22,"近期，《习近平谈治国理政》第三卷以中英文版出版，面向海内外发行。这本书是全面系统反映习近平新时代中国特色社会主义思想的权威著作，对于推动广大党员、干部和群众学懂弄通做实习近平新时代中国特色社会主义思想具有重要意义。人民网・中国共产党新闻网针对书中的一系列重要名词制作推出系列海报，便于大家更好地学习领会。
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	资料来源：新华社《学习进行时》"
,2020-07-16,
,2020-07-09,
,2020-07-02,
,2020-06-28,
王逸舟：从力量大国走向仁智大国,2020-06-28,"北京大学学生工作部联合人民网・中国共产党新闻网重磅推出《北大思政微讲堂：战“疫”时刻看中国》专题栏目，结合短视频、微讲堂等创新形式丰富疫情期间高校线上思政教育内容， 进一步推进习近平新时代中国特色社会主义思想进教材、进课堂、进头脑，不断丰富加强习近平新时代中国特色社会主义思想课程体系建设，以新思想引领新征程，用新思想培育圆梦新一代。
	课程大纲涵盖习近平新时代中国特色社会主义思想的精神实质与历史贡献、中国特色社会主义的总任务、新时代的含义、新发展理念与习近平新时代中国特色社会主义经济思想等专题讲授新时代中国特色社会主义思想理论体系的内容，引导广大学子将个人梦融入中华民族伟大复兴的中国梦中，努力成长为有理想、有本领、有担当的圆梦新一代。
	课程在人民网・中国共产党新闻网、陆续推出，敬请关注。
	王逸舟，现为北京大学博雅特聘教授，中国国际关系学会副会长，《国际政治研究》杂志主编，国家社科基金重大项目“新时代中国大国外交能力建设”首席专家。曾任中国社会科学院研究生院世界经济与政治研究系主任、博士生导师，中国社科院世界经济与政治研究所副所长，《世界经济与政治》杂志主编，北大国际关系学院副院长。出版了《当代国际政治析论》、《西方国际政治学》、《恐怖主义溯源》、《全球政治和中国外交》、《创造性介入：中国外交三部曲》、《仁智大国》等著作。其中的主要作品被译成多国文字在海外出版。
	
	
	进入新时代至本世纪中叶这个阶段，中国肩负为世界贡献中国方案、中国智慧的外交使命。中国的“大国外交”是谋求主权、安全和发展利益统一。纵向来看，新中国成立以来，中国外交发生了阶段性的演进。从最初的“安全外交”到“发展外交”，到“谋求主权、安全和发展利益的统一”。 横向来看，与其他大国比较，我们的目标是服务于中国与世界的发展，需要考虑如何维护经济发展、全球治理，提供更多的“国际公共产品”。新时代的中国，不仅是力量大国，也是仁义大国、智慧大国。
	新一代的中国，对青年有新的期许。未来的中国新一代青年，成长在向全球进发的过程中，成长在为人类提供更多方案的进程中，任重道远，需要更多的担当。
	
	未来30年，你中有我、我中有你，中国自身跟外部世界的深度融合、紧密对接，是几千年文明史上从未有过的，也是将是最大的机遇。
	一种大而有亲和力的方式，一种不是可畏而是可亲的方式，建设人类命运共体的建设，这是中国外交的源泉、动力和方案。
	未来的中国新一代青年，成长在向全球进发的过程中，成长在为人类提供更多方案的进程中，任重道远，需要更多的担当。"
广西：在学“四史”中守初心、担使命,2020-06-23,"“当年的战争牺牲了不少同志，是他们用鲜血和生命换来了新中国。”在广西南宁市滨湖路小学前不久举办的2020年主题大队会暨新队员入队仪式上，获授“共和国勋章”的战斗英雄李延年动情讲述自己的亲身经历，殷殷勉励少先队员们发扬红色精神，传承红色基因，树立远大理想，争做新时代的好少年。
	这是广西各地因地制宜，结合实际学习党史、新中国史、改革开放史、社会主义发展史（以下简称“四史”）的一个缩影。自“不忘初心、牢记使命”主题教育开展以来，广西各地各部门把学习“四史”作为主题教育重要内容，引导党员干部深入传承红色基因，不断增强守初心、担使命的思想和行动自觉。
	学好党的奋斗史。自治区党委常委会带头前往湘江战役发生地兴安、全州开展党史教育、革命传统现场教育，自治区各单位结合脱贫攻坚等工作深入百色、东兰、龙州等革命老区深入学习体验党的初心和奋斗史。广西档案馆举办广西“不忘初心、牢记使命”主题教育档案文献展，集中展出285件文件、信件、刊物、照片等珍贵红色档案文献。自治区文化和旅游厅举办“八桂烽火 涅��新生――广西革命文物展”，集中展出全区各博物馆珍藏的近200件珍贵革命文物。自治区主题教育办组织各单位以参观展览的形式加深党史教育，让广大党员干部更直观、深刻地了解我们党的奋斗史。
	学好新中国发展史。主题教育期间，广西组织开展了两期领导干部“时代前沿知识”系列讲座，回顾新中国的发展史、外交史等，深刻剖析当前国内国际形势，为建设壮美广西凝聚力量。自治区党委宣传部、党史研究室、教育工委联合开展“我和我的祖国――共和国故事进校园”百场主题宣讲活动，实现宣讲活动进高校全覆盖，受众近10万人次。
	学好中国共产党广西历史。自治区党委组织部推出了以展示中国共产党在广西斗争中不断发展壮大光辉历程的革命历史题材纪录片《红色传奇》供各部门学习。自治区党委宣传部、广西广播电视台开展红色影视展播活动，集中展播《血战湘江》《百色起义》《绝命后卫师》等红色影视作品。自治区退役军人事务厅、民政厅、文物局等部门在红军烈士遗骸收殓和湘江战役遗址修缮保护、纪念设施建设等工作中深化党史教育，组织党员干部边做边学，以党的历史、党的优良传统激发新时代新担当新作为。
	如何深入推进“四史”学习常态化？广西区委党校（广西行政学院）把“四史”课程作为党的理论教育和党性教育的重要组成部分，把“四史”教学内容融入习近平新时代中国特色社会主义思想的教学内容中，实现两者有机贯通。在3个月以上的培训类班次，设置“四史”教学模块，系统开设中国共产党近一百年的奋斗历程、中国共产党在新民主主义革命时期的奋斗历程等课程；在一个月以上的进修类班次，开设中国共产党近一百年的奋斗历程、中华人民共和国的光辉历程等主干课程。“我们在提高教学质量、创新教学方式方法上下功夫，让党员领导干部听得进、记得住、用得上，确保‘四史’教学取得实效。”广西区委党校（广西行政学院）教务处处长张芳说。
	（本报记者 周仕兴）"
