title,date,body
像抓脱贫攻坚那样抓乡村振兴,2020-12-08,"
	脱贫摘帽不是终点，而是新的起点。明年起，“三农”工作重点将从集中力量脱贫攻坚转向全面推进乡村振兴，应以脱贫攻坚的办法推进乡村振兴，以乡村振兴的办法巩固脱贫成果，像抓脱贫攻坚一样抓乡村振兴。
	日前，中共中央政治局常务委员会召开会议，听取脱贫攻坚总结评估汇报。会议指出：“我们如期完成了新时代脱贫攻坚目标任务，现行标准下农村贫困人口全部脱贫，贫困县全部摘帽。”这无疑是令全世界刮目相看的重大胜利。明年起，“三农”工作重点将从集中力量脱贫攻坚转向全面推进乡村振兴，应以脱贫攻坚的办法推进乡村振兴，以乡村振兴的办法巩固脱贫成果，像抓脱贫攻坚一样抓乡村振兴。
	经过接续奋斗，我国消除了绝对贫困和区域性整体贫困，但低收入人口的大头仍分布在农村，农村相对贫困问题的解决还需时日。实现脱贫攻坚与乡村振兴有效衔接，必须建立完善相应的体制机制。以脱贫攻坚的办法推进乡村振兴，意味着把脱贫攻坚形成的一整套行之有效办法借鉴移植到乡村振兴中；以乡村振兴的办法巩固脱贫成果，意味着以乡村振兴的手段，激发农村内生动力，让农民从告别贫困走向全面发展。
	随着贫困县摘帽，一些挑战也日益显现。客观上，一些脱贫农户抵御风险的能力还不强，一旦遭遇变故可能返贫致贫。一些脱贫村的社会治理对驻村工作队的依赖依然较高。不少脱贫县只是解决了基本问题，自我发展能力依然不强。脱贫产业已经结果但还没成为大树，产品附加值还是偏低。主观上，一些地方认为脱贫摘帽就可以“到站下车”了，没有认识到下一站是乡村振兴、农民富裕。一些基层干部对特惠性政策有心理依赖，对摘帽后农村如何持续发展考虑不足。
	脱贫摘帽不是终点，而是新的起点。脱贫攻坚和乡村振兴虽对象一致、工作连续，但前者重点解决农村绝对贫困群体“两不愁三保障”问题，后者主要解决“三农”问题和城乡差距问题，更具综合性、持久性，也更艰难。全面建设现代化国家，不能丢了农村这一头。在脱贫攻坚取得重大胜利之际，要继续把农业农村发展作为现代化建设的优先任务，强化以工补农、以城带乡，重点做到“三个接续”。
	接续机制。脱贫攻坚中形成了责任机制，呈现“五级书记抓脱贫、全党动员促攻坚”的局面。在推进乡村全面振兴中，也应强化“一把手”责任制，把“五级书记抓乡村振兴”落到实处。在脱贫攻坚工作中形成了精准严实的工作作风和齐抓共管工作模式，也应运用到乡村振兴工作中，做好工作体系、考核机制有效衔接，为推动农业农村工作提供有力保障。
	接续投入。“十三五”时期，中央财政不断健全脱贫攻坚的投入保障机制，累计安排补助地方专项扶贫资金5305亿元，支持地方多渠道筹集易地扶贫搬迁资金近6000亿元，引导金融机构累计投放扶贫小额信贷超6000亿元。全面实施乡村振兴战略，历时更长、覆盖面更大、要求更高，更需要真金白银地投入，确保“弹药”充足。建议正在制订中的乡村振兴促进法应就财政投入、土地出让收入、资金基金、金融服务等作出规定，落实农业农村优先发展要求。
	接续产业。发展产业是脱贫攻坚与乡村振兴的直接衔接点，不仅支撑防止农户返贫，也支撑乡村全面振兴。目前，很多扶贫产业发展还是托底式帮扶，今后应更着眼于帮助农产品提高市场竞争力，根据形势变化完善产业规划，对已有产业配置生产要素、完善产业体系。推动脱贫地区特色产业由快速覆盖向长期发展转变，由重点支持贫困村、贫困户向脱贫地区全域覆盖、全体受益转变。
	唯有如此，才能把14亿中国人的饭碗端得更牢，让广大农民生活得更美好，把农村建设得更加生态宜居。"
多措并举巩固脱贫攻坚成果（评论员观察）,2020-12-08,"
	不久前，贵州省宣布剩余的9个贫困县退出贫困县序列。至此，我国832个贫困县全部脱贫摘帽。
	2014年，832个贫困县名单公布，面积总和占全国国土面积一半，大约每三个县中就有一个是贫困县，完全没有贫困县的省份只有9个。连续7年，我国每年减贫人口都在1000万人以上，全国贫困人口从2012年底的9899万人减至2019年底的551万人，贫困发生率从10.2%降至0.6%。由此不难理解，中国扶贫事业何以在国际上被誉为“人类历史上最伟大的事件之一”。
